org_base,org_derived,POS,derivation_process_prefix,derivation_process_suffix,base,derived,btd,dtb
бананать,банановый,V.ADJ,,.в,банан,бананов,,в
барс,барсовый,N.ADJ,nan.nan,.в,барс,барсов,,в
барсеть,барсовый,V.ADJ,,.в,барс,барсов,,в
бред,бредовый,N.ADJ,nan.nan,.в,бред,бредов,,в
бредо,бредовой,N.ADJ,,.в,бред,бредов,,в
век,вековой,N.ADJ,nan.nan,.в,век,веков,,в
век,вековать,N.V,,.в,век,веков,,в
вест,вестовый,N.ADJ,nan.nan,.в,вест,вестов,,в
весть,вестовый,N.ADJ,,.в,вест,вестов,,в
вид,видовать,N.V,nan.nan,.в,вид,видов,,в
видо,видовой,N.ADJ,,.в,вид,видов,,в
глас,гласовый,N.ADJ,nan.nan,.в,глас,гласов,,в
гласить,гласовый,V.ADJ,,.в,глас,гласов,,в
голос,голосовать,N.V,nan.nan,.в,голос,голосов,,в
голосый,голосовать,ADJ.V,,.в,голос,голосов,,в
диск,дисковый,N.ADJ,nan.nan,.в,диск,дисков,,в
диско,дисковый,N.ADJ,,.в,диск,дисков,,в
енд,ендовой,N.ADJ,nan.nan,.в,енд,ендов,,в
енд,ендовый,N.ADJ,,.в,енд,ендов,,в
залог,залоговать,N.V,nan.nan,.в,залог,залогов,,в
залог,залоговый,N.ADJ,,.в,залог,залогов,,в
знак,знаковый,N.ADJ,nan.nan,.в,знак,знаков,,в
знако,знаковый,N.ADJ,,.в,знак,знаков,,в
интерес,интересовать,N.V,nan.nan,.в,интерес,интересов,,в
интересо,интересовать,N.V,,.в,интерес,интересов,,в
ирис,ирисовый,N.ADJ,nan.nan,.в,ирис,ирисов,,в
ирисе,ирисовый,N.ADJ,,.в,ирис,ирисов,,в
иск,исковый,N.ADJ,nan.nan,.в,иск,исков,,в
иско,исковый,N.ADJ,,.в,иск,исков,,в
йогурт,йогуртовой,N.ADJ,nan.nan,.в,йогурт,йогуртов,,в
йогурт,йогуртовый,N.ADJ,,.в,йогурт,йогуртов,,в
каг,каговать,N.V,nan.nan,.в,каг,кагов,,в
каго,каговать,N.V,,.в,каг,кагов,,в
склеп,склеповый,N.ADJ,nan.nan,.в,склеп,склепов,,в
склепать,склеповый,V.ADJ,,.в,склеп,склепов,,в
коралл,коралловый,N.ADJ,nan.nan,.в,коралл,кораллов,,в
коралл,коралловать,N.V,,.в,коралл,кораллов,,в
крокодил,крокодиловый,N.ADJ,nan.nan,.в,крокодил,крокодилов,,в
крокодил,крокодилов,N.ADJ,,.в,крокодил,крокодилов,,в
лайк,лайковый,N.ADJ,nan.nan,.в,лайк,лайков,,в
лайка,лайковый,N.ADJ,,.в,лайк,лайков,,в
лидокаин,лидокаиновый,N.ADJ,nan.nan,.в,лидокаин,лидокаинов,,в
лидокаина,лидокаиновый,N.ADJ,,.в,лидокаин,лидокаинов,,в
лифт,лифтовый,N.ADJ,nan.nan,.в,лифт,лифтов,,в
лифт,лифтовой,N.ADJ,,.в,лифт,лифтов,,в
луг,луговать,N.V,nan.nan,.в,луг,лугов,,в
луга,луговать,N.V,,.в,луг,лугов,,в
маис,маисовый,N.ADJ,nan.nan,.в,маис,маисов,,в
маисать,маисовый,V.ADJ,,.в,маис,маисов,,в
мамонт,мамонтовый,N.ADJ,nan.nan,.в,мамонт,мамонтов,,в
мамонт,мамонтов,N.ADJ,,.в,мамонт,мамонтов,,в
материк,материковый,N.ADJ,nan.nan,.в,материк,материков,,в
материкый,материковать,ADJ.V,,.в,материк,материков,,в
мах,маховой,N.ADJ,nan.nan,.в,мах,махов,,в
мах,маховать,N.V,,.в,мах,махов,,в
метр,метровать,N.V,nan.nan,.в,метр,метров,,в
метро,метровать,N.V,,.в,метр,метров,,в
мир,мировый,N.ADJ,nan.nan,.в,мир,миров,,в
мире,мировой,N.ADJ,,.в,мир,миров,,в
наслед,наследовать,N.V,nan.nan,.в,наслед,наследов,,в
наследый,наследовать,ADJ.V,,.в,наслед,наследов,,в
низ,низовать,N.V,nan.nan,.в,низ,низов,,в
низя,низовой,N.ADJ,,.в,низ,низов,,в
сок,соковой,N.ADJ,nan.nan,.в,сок,соков,,в
сокать,соковой,V.ADJ,,.в,сок,соков,,в
пан,пановать,N.V,nan.nan,.в,пан,панов,,в
панье,пановать,N.V,,.в,пан,панов,,в
парафин,парафиновый,N.ADJ,nan.nan,.в,парафин,парафинов,,в
парафинить,парафиновый,V.ADJ,,.в,парафин,парафинов,,в
пер,перовой,N.ADJ,nan.nan,.в,пер,перов,,в
перо,перовой,N.ADJ,,.в,пер,перов,,в
пласт,пластовой,N.ADJ,nan.nan,.в,пласт,пластов,,в
пластить,пластовой,V.ADJ,,.в,пласт,пластов,,в
пляс,плясовой,N.ADJ,nan.nan,.в,пляс,плясов,,в
пляс,плясовать,N.V,,.в,пляс,плясов,,в
побег,побеговый,N.ADJ,nan.nan,.в,побег,побегов,,в
побегить,побеговый,V.ADJ,,.в,побег,побегов,,в
проповед,проповедовать,N.V,nan.nan,.в,проповед,проповедов,,в
проповедый,проповедовать,ADJ.V,,.в,проповед,проповедов,,в
спин,спиновый,N.ADJ,nan.nan,.в,спин,спинов,,в
спина,спиновый,N.ADJ,,.в,спин,спинов,,в
пол-литр,пол-литровый,N.ADJ,nan.nan,.в,пол-литр,пол-литров,,в
пол-литра,пол-литровый,N.ADJ,,.в,пол-литр,пол-литров,,в
полугод,полугодовой,N.ADJ,nan.nan,.в,полугод,полугодов,,в
полугод,полугодовать,N.V,,.в,полугод,полугодов,,в
прайм,праймовый,N.ADJ,nan.nan,.в,прайм,праймов,,в
прайма,праймовый,N.ADJ,,.в,прайм,праймов,,в
пруд,прудовой,N.ADJ,nan.nan,.в,пруд,прудов,,в
прудить,прудовой,V.ADJ,,.в,пруд,прудов,,в
риск,рисковать,N.V,nan.nan,.в,риск,рисков,,в
риско,рисковать,N.V,,.в,риск,рисков,,в
род,родовой,N.ADJ,nan.nan,.в,род,родов,,в
родать,родовый,V.ADJ,,.в,род,родов,,в
варн,варновый,N.ADJ,nan.nan,.в,варн,варнов,,в
варна,варновый,N.ADJ,,.в,варн,варнов,,в
рэк,рэковый,N.ADJ,nan.nan,.в,рэк,рэков,,в
рэкать,рэковый,V.ADJ,,.в,рэк,рэков,,в
скимминг,скимминговый,N.ADJ,nan.nan,.в,скимминг,скиммингов,,в
скимминга,скимминговый,N.ADJ,,.в,скимминг,скиммингов,,в
склон,склоновый,N.ADJ,nan.nan,.в,склон,склонов,,в
склонить,склоновый,V.ADJ,,.в,склон,склонов,,в
слайд,слайдовый,N.ADJ,nan.nan,.в,слайд,слайдов,,в
слайдить,слайдовый,V.ADJ,,.в,слайд,слайдов,,в
слив,сливовый,N.ADJ,nan.nan,.в,слив,сливов,,в
сливе,сливовый,N.ADJ,,.в,слив,сливов,,в
снег,снеговать,N.V,nan.nan,.в,снег,снегов,,в
снега,снеговать,N.V,,.в,снег,снегов,,в
стекл,стекловать,N.V,nan.nan,.в,стекл,стеклов,,в
стекло,стекловать,N.V,,.в,стекл,стеклов,,в
стресс,стрессовый,N.ADJ,nan.nan,.в,стресс,стрессов,,в
стресс,стрессовать,N.V,,.в,стресс,стрессов,,в
стык,стыковой,N.ADJ,nan.nan,.в,стык,стыков,,в
стык,стыковать,N.V,,.в,стык,стыков,,в
тон,тоновой,N.ADJ,nan.nan,.в,тон,тонов,,в
тонить,тоновой,V.ADJ,,.в,тон,тонов,,в
уход,уходовой,N.ADJ,nan.nan,.в,уход,уходов,,в
уход,уходовый,N.ADJ,,.в,уход,уходов,,в
хемокин,хемокиновый,N.ADJ,nan.nan,.в,хемокин,хемокинов,,в
хемокины,хемокиновый,N.ADJ,,.в,хемокин,хемокинов,,в
хлыст,хлыстовый,N.ADJ,nan.nan,.в,хлыст,хлыстов,,в
хлыстать,хлыстовый,V.ADJ,,.в,хлыст,хлыстов,,в
хрен,хреновый,N.ADJ,nan.nan,.в,хрен,хренов,,в
хрений,хреновать,ADJ.V,,.в,хрен,хренов,,в
целофан,целофановый,N.ADJ,nan.nan,.в,целофан,целофанов,,в
целофане,целофановый,N.ADJ,,.в,целофан,целофанов,,в
чар,чаровать,N.V,nan.nan,.в,чар,чаров,,в
чаре,чаровать,N.V,,.в,чар,чаров,,в
чек,чековый,N.ADJ,nan.nan,.в,чек,чеков,,в
чекать,чековый,V.ADJ,,.в,чек,чеков,,в
чёрт,чёртовый,N.ADJ,nan.nan,.в,чёрт,чёртов,,в
чёрт,чёртов,N.ADJ,,.в,чёрт,чёртов,,в
шип,шиповой,N.ADJ,nan.nan,.в,шип,шипов,,в
шипить,шиповой,V.ADJ,,.в,шип,шипов,,в
штрих,штриховать,N.V,nan.nan,.в,штрих,штрихов,,в
штрих,штриховой,N.ADJ,,.в,штрих,штрихов,,в
штурм,штурмовать,N.V,nan.nan,.в,штурм,штурмов,,в
штурм,штурмовой,N.ADJ,,.в,штурм,штурмов,,в
щит,щитовать,N.V,nan.nan,.в,щит,щитов,,в
щит,щитовой,N.ADJ,,.в,щит,щитов,,в
согласный,согласоваться,ADJ.V,nan.nan,н.н,согласн,согласов,н,в
согласный,согласовать,ADJ.V,,н.в,согласн,согласов,н,в
аттестат,аттестоваться,N.V,nan.nan,ат.ат,аттестат,аттестов,ат,в
аттестат,аттестовать,N.V,,ат.в,аттестат,аттестов,ат,в
Аббасиды,Аббасидский,N.ADJ,,.ск,Аббасид,Аббасидск,,ск
Аббасид,Аббасидскый,N.ADJ,nan.nan,.ск,Аббасид,Аббасидск,,ск
Абакане,Абаканской,N.ADJ,,.ск,Абакан,Абаканск,,ск
Абакана,Абаканский,N.ADJ,nan.nan,.ск,Абакан,Абаканск,,ск
Абдер,Абдерский,N.ADJ,,.ск,Абдер,Абдерск,,ск
Абдеры,Абдерскый,N.ADJ,nan.nan,.ск,Абдер,Абдерск,,ск
Авиньона,Авиньонский,N.ADJ,,.ск,Авиньон,Авиньонск,,ск
Авиньон,Авиньонскый,N.ADJ,nan.nan,.ск,Авиньон,Авиньонск,,ск
Агуры,Агурский,N.ADJ,,.ск,Агур,Агурск,,ск
Агура,Агурскый,N.ADJ,nan.nan,.ск,Агур,Агурск,,ск
Адамове,Адамовский,N.ADJ,,.ск,Адамов,Адамовск,,ск
Адамовы,Адамовскый,N.ADJ,nan.nan,.ск,Адамов,Адамовск,,ск
Адлеры,Адлерский,N.ADJ,,.ск,Адлер,Адлерск,,ск
Адлеры,Адлерскый,N.ADJ,nan.nan,.ск,Адлер,Адлерск,,ск
Азове,Азовский,N.ADJ,,.ск,Азов,Азовск,,ск
Азова,Азовский,N.ADJ,nan.nan,.ск,Азов,Азовск,,ск
Азоры,Азорский,N.ADJ,,.ск,Азор,Азорск,,ск
Азора,Азорскый,N.ADJ,nan.nan,.ск,Азор,Азорск,,ск
Айвазова,Айвазовский,N.ADJ,,.ск,Айвазов,Айвазовск,,ск
Айвазова,Айвазовскый,N.ADJ,nan.nan,.ск,Айвазов,Айвазовск,,ск
Акабы,Акабский,N.ADJ,,.ск,Акаб,Акабск,,ск
Акабы,Акабскый,N.ADJ,nan.nan,.ск,Акаб,Акабск,,ск
Акбулак,Акбулакский,N.ADJ,,.ск,Акбулак,Акбулакск,,ск
Акбулак,Акбулакскый,N.ADJ,nan.nan,.ск,Акбулак,Акбулакск,,ск
Акимов,Акимовский,N.ADJ,,.ск,Акимов,Акимовск,,ск
Акимов,Акимовскый,N.ADJ,nan.nan,.ск,Акимов,Акимовск,,ск
Актау,Актауский,N.ADJ,,.ск,Актау,Актауск,,ск
Актау,Актаускый,N.ADJ,nan.nan,.ск,Актау,Актауск,,ск
Алагир,Алагирский,N.ADJ,,.ск,Алагир,Алагирск,,ск
Алагира,Алагирскый,N.ADJ,nan.nan,.ск,Алагир,Алагирск,,ск
Аланда,Аландский,N.ADJ,,.ск,Аланд,Аландск,,ск
Аланда,Аландскый,N.ADJ,nan.nan,.ск,Аланд,Аландск,,ск
Алдана,Алданский,N.ADJ,,.ск,Алдан,Алданск,,ск
Алдана,Алданскый,N.ADJ,nan.nan,.ск,Алдан,Алданск,,ск
Алексееве,Алексеевский,N.ADJ,,.ск,Алексеев,Алексеевск,,ск
Алексеевы,Алексеевский,N.ADJ,nan.nan,.ск,Алексеев,Алексеевск,,ск
Алеут,Алеутский,N.ADJ,,.ск,Алеут,Алеутск,,ск
Алеут,Алеутской,N.ADJ,nan.nan,.ск,Алеут,Алеутск,,ск
Алитусе,Алитусский,N.ADJ,,.ск,Алитус,Алитусск,,ск
Алитуса,Алитусскый,N.ADJ,nan.nan,.ск,Алитус,Алитусск,,ск
Анабара,Анабарский,N.ADJ,,.ск,Анабар,Анабарск,,ск
Анабара,Анабарскый,N.ADJ,nan.nan,.ск,Анабар,Анабарск,,ск
Ананьевы,Ананьевский,N.ADJ,,.ск,Ананьев,Ананьевск,,ск
Ананьевы,Ананьевскый,N.ADJ,nan.nan,.ск,Ананьев,Ананьевск,,ск
Ангара,Ангарский,N.ADJ,,.ск,Ангар,Ангарск,,ск
Ангара,Ангарскый,N.ADJ,nan.nan,.ск,Ангар,Ангарск,,ск
Андижана,Андижанский,N.ADJ,,.ск,Андижан,Андижанск,,ск
Андижан,Андижанской,N.ADJ,nan.nan,.ск,Андижан,Андижанск,,ск
Андреева,Андреевской,N.ADJ,,.ск,Андреев,Андреевск,,ск
Андреевы,Андреевской,N.ADJ,nan.nan,.ск,Андреев,Андреевск,,ск
Анзере,Анзерский,N.ADJ,,.ск,Анзер,Анзерск,,ск
Анзер,Анзерскый,N.ADJ,nan.nan,.ск,Анзер,Анзерск,,ск
Анивы,Анивской,N.ADJ,,.ск,Анив,Анивск,,ск
Анива,Анивский,N.ADJ,nan.nan,.ск,Анив,Анивск,,ск
Аннин,Аннинской,N.ADJ,,.ск,Аннин,Аннинск,,ск
Аннина,Аннинской,N.ADJ,nan.nan,.ск,Аннин,Аннинск,,ск
Антоновы,Антоновский,N.ADJ,,.ск,Антонов,Антоновск,,ск
Антонова,Антоновскый,N.ADJ,nan.nan,.ск,Антонов,Антоновск,,ск
Апеннин,Апеннинский,N.ADJ,,.ск,Апеннин,Апеннинск,,ск
Апеннины,Апеннинский,N.ADJ,nan.nan,.ск,Апеннин,Апеннинск,,ск
Апрелева,Апрелевский,N.ADJ,,.ск,Апрелев,Апрелевск,,ск
Апрелев,Апрелевский,N.ADJ,nan.nan,.ск,Апрелев,Апрелевск,,ск
Аракчееве,Аракчеевский,N.ADJ,,.ск,Аракчеев,Аракчеевск,,ск
Аракчеев,Аракчеевский,N.ADJ,nan.nan,.ск,Аракчеев,Аракчеевск,,ск
Арзамасе,Арзамасский,N.ADJ,,.ск,Арзамас,Арзамасск,,ск
Арзамас,Арзамасской,N.ADJ,nan.nan,.ск,Арзамас,Арзамасск,,ск
Архызе,Архызский,N.ADJ,,.ск,Архыз,Архызск,,ск
Архыз,Архызский,N.ADJ,nan.nan,.ск,Архыз,Архызск,,ск
Арцах,Арцахской,N.ADJ,,.ск,Арцах,Арцахск,,ск
Арцаха,Арцахской,N.ADJ,nan.nan,.ск,Арцах,Арцахск,,ск
Аршава,Аршавский,N.ADJ,,.ск,Аршав,Аршавск,,ск
Аршава,Аршавскый,N.ADJ,nan.nan,.ск,Аршав,Аршавск,,ск
Астафьево,Астафьевской,N.ADJ,,.ск,Астафьев,Астафьевск,,ск
Астафьев,Астафьевской,N.ADJ,nan.nan,.ск,Астафьев,Астафьевск,,ск
Астрахань,Астраханский,N.ADJ,,.ск,Астрахан,Астраханск,,ск
Астрахан,Астраханскый,N.ADJ,nan.nan,.ск,Астрахан,Астраханск,,ск
Атырау,Атырауской,N.ADJ,,.ск,Атырау,Атырауск,,ск
Атырау,Атырауский,N.ADJ,nan.nan,.ск,Атырау,Атырауск,,ск
Аугсбурга,Аугсбургский,N.ADJ,,.ск,Аугсбург,Аугсбургск,,ск
Аугсбург,Аугсбургский,N.ADJ,nan.nan,.ск,Аугсбург,Аугсбургск,,ск
Ахен,Ахенской,N.ADJ,,.ск,Ахен,Ахенск,,ск
Ахен,Ахенский,N.ADJ,nan.nan,.ск,Ахен,Ахенск,,ск
Ахметовы,Ахметовской,N.ADJ,,.ск,Ахметов,Ахметовск,,ск
Ахметова,Ахметовской,N.ADJ,nan.nan,.ск,Ахметов,Ахметовск,,ск
Багамы,Багамский,N.ADJ,,.ск,Багам,Багамск,,ск
Багама,Багамский,N.ADJ,nan.nan,.ск,Багам,Багамск,,ск
Бадаев,Бадаевский,N.ADJ,,.ск,Бадаев,Бадаевск,,ск
Бадаева,Бадаевскый,N.ADJ,nan.nan,.ск,Бадаев,Бадаевск,,ск
Бажов,Бажовский,N.ADJ,,.ск,Бажов,Бажовск,,ск
Бажов,Бажовскый,N.ADJ,nan.nan,.ск,Бажов,Бажовск,,ск
Баймак,Баймакский,N.ADJ,,.ск,Баймак,Баймакск,,ск
Баймак,Баймакской,N.ADJ,nan.nan,.ск,Баймак,Баймакск,,ск
Бакланов,Баклановский,N.ADJ,,.ск,Бакланов,Баклановск,,ск
Бакланова,Баклановский,N.ADJ,nan.nan,.ск,Бакланов,Баклановск,,ск
Баксане,Баксанский,N.ADJ,,.ск,Баксан,Баксанск,,ск
Баксан,Баксанский,N.ADJ,nan.nan,.ск,Баксан,Баксанск,,ск
Бакулев,Бакулевский,N.ADJ,,.ск,Бакулев,Бакулевск,,ск
Бакулев,Бакулевскый,N.ADJ,nan.nan,.ск,Бакулев,Бакулевск,,ск
Балашово,Балашовской,N.ADJ,,.ск,Балашов,Балашовск,,ск
Балашов,Балашовской,N.ADJ,nan.nan,.ск,Балашов,Балашовск,,ск
Балеары,Балеарский,N.ADJ,,.ск,Балеар,Балеарск,,ск
Балеар,Балеарский,N.ADJ,nan.nan,.ск,Балеар,Балеарск,,ск
Балуев,Балуевский,N.ADJ,,.ск,Балуев,Балуевск,,ск
Балуева,Балуевский,N.ADJ,nan.nan,.ск,Балуев,Балуевск,,ск
Бандунга,Бандунгской,N.ADJ,,.ск,Бандунг,Бандунгск,,ск
Бандунг,Бандунгской,N.ADJ,nan.nan,.ск,Бандунг,Бандунгск,,ск
Барановы,Барановской,N.ADJ,,.ск,Баранов,Барановск,,ск
Баранова,Барановский,N.ADJ,nan.nan,.ск,Баранов,Барановск,,ск
Баткене,Баткенский,N.ADJ,,.ск,Баткен,Баткенск,,ск
Баткен,Баткенский,N.ADJ,nan.nan,.ск,Баткен,Баткенск,,ск
Баттенберг,Баттенбергский,N.ADJ,,.ск,Баттенберг,Баттенбергск,,ск
Баттенберга,Баттенбергский,N.ADJ,nan.nan,.ск,Баттенберг,Баттенбергск,,ск
Бау,Бауской,N.ADJ,,.ск,Бау,Бауск,,ск
Бау,Бауский,N.ADJ,nan.nan,.ск,Бау,Бауск,,ск
Бахчисарай,Бахчисарайский,N.ADJ,,.ск,Бахчисарай,Бахчисарайск,,ск
Бахчисарай,Бахчисарайской,N.ADJ,nan.nan,.ск,Бахчисарай,Бахчисарайск,,ск
Башкортостане,Башкортостанской,N.ADJ,,.ск,Башкортостан,Башкортостанск,,ск
Башкортостан,Башкортостанский,N.ADJ,nan.nan,.ск,Башкортостан,Башкортостанск,,ск
Белкова,Белковский,N.ADJ,,.ск,Белков,Белковск,,ск
Белкова,Белковскый,N.ADJ,nan.nan,.ск,Белков,Белковск,,ск
Беловежа,Беловежский,N.ADJ,,.ск,Беловеж,Беловежск,,ск
Беловежа,Беловежскый,N.ADJ,nan.nan,.ск,Беловеж,Беловежск,,ск
Белозерья,Белозерской,N.ADJ,,.ск,Белозер,Белозерск,,ск
Белозерье,Белозерской,N.ADJ,nan.nan,.ск,Белозер,Белозерск,,ск
Белосток,Белостокской,N.ADJ,,.ск,Белосток,Белостокск,,ск
Белосток,Белостокский,N.ADJ,nan.nan,.ск,Белосток,Белостокск,,ск
Бельбека,Бельбекский,N.ADJ,,.ск,Бельбек,Бельбекск,,ск
Бельбека,Бельбекскый,N.ADJ,nan.nan,.ск,Бельбек,Бельбекск,,ск
Белёве,Белёвский,N.ADJ,,.ск,Белёв,Белёвск,,ск
Белёв,Белёвскый,N.ADJ,nan.nan,.ск,Белёв,Белёвск,,ск
Бердичев,Бердичевский,N.ADJ,,.ск,Бердичев,Бердичевск,,ск
Бердичева,Бердичевской,N.ADJ,nan.nan,.ск,Бердичев,Бердичевск,,ск
Березино,Березинский,N.ADJ,,.ск,Березин,Березинск,,ск
Березин,Березинскый,N.ADJ,nan.nan,.ск,Березин,Березинск,,ск
Бермуда,Бермудский,N.ADJ,,.ск,Бермуд,Бермудск,,ск
Бермуды,Бермудский,N.ADJ,nan.nan,.ск,Бермуд,Бермудск,,ск
Бестужева,Бестужевский,N.ADJ,,.ск,Бестужев,Бестужевск,,ск
Бестужев,Бестужевский,N.ADJ,nan.nan,.ск,Бестужев,Бестужевск,,ск
Бикина,Бикинский,N.ADJ,,.ск,Бикин,Бикинск,,ск
Бикин,Бикинский,N.ADJ,nan.nan,.ск,Бикин,Бикинск,,ск
Бильдерберг,Бильдербергской,N.ADJ,,.ск,Бильдерберг,Бильдербергск,,ск
Бильдерберг,Бильдербергский,N.ADJ,nan.nan,.ск,Бильдерберг,Бильдербергск,,ск
Бичуре,Бичурский,N.ADJ,,.ск,Бичур,Бичурск,,ск
Бичура,Бичурскый,N.ADJ,nan.nan,.ск,Бичур,Бичурск,,ск
Бобрина,Бобринский,N.ADJ,,.ск,Бобрин,Бобринск,,ск
Бобрин,Бобринский,N.ADJ,nan.nan,.ск,Бобрин,Бобринск,,ск
Богаев,Богаевский,N.ADJ,,.ск,Богаев,Богаевск,,ск
Богаев,Богаевскый,N.ADJ,nan.nan,.ск,Богаев,Богаевск,,ск
Богатова,Богатовский,N.ADJ,,.ск,Богатов,Богатовск,,ск
Богатов,Богатовскый,N.ADJ,nan.nan,.ск,Богатов,Богатовск,,ск
Богодухове,Богодуховский,N.ADJ,,.ск,Богодухов,Богодуховск,,ск
Богодухова,Богодуховской,N.ADJ,nan.nan,.ск,Богодухов,Богодуховск,,ск
Боголюба,Боголюбской,N.ADJ,,.ск,Боголюб,Боголюбск,,ск
Боголюба,Боголюбский,N.ADJ,nan.nan,.ск,Боголюб,Боголюбск,,ск
Богуслав,Богуславский,N.ADJ,,.ск,Богуслав,Богуславск,,ск
Богуслава,Богуславскый,N.ADJ,nan.nan,.ск,Богуслав,Богуславск,,ск
Богучан,Богучанский,N.ADJ,,.ск,Богучан,Богучанск,,ск
Богучан,Богучанской,N.ADJ,nan.nan,.ск,Богучан,Богучанск,,ск
Богучаре,Богучарский,N.ADJ,,.ск,Богучар,Богучарск,,ск
Богучар,Богучарский,N.ADJ,nan.nan,.ск,Богучар,Богучарск,,ск
Болотове,Болотовский,N.ADJ,,.ск,Болотов,Болотовск,,ск
Болотов,Болотовскый,N.ADJ,nan.nan,.ск,Болотов,Болотовск,,ск
Болхове,Болховской,N.ADJ,,.ск,Болхов,Болховск,,ск
Болхова,Болховский,N.ADJ,nan.nan,.ск,Болхов,Болховск,,ск
Бондаря,Бондарский,N.ADJ,,.ск,Бондар,Бондарск,,ск
Бондар,Бондарскый,N.ADJ,nan.nan,.ск,Бондар,Бондарск,,ск
Борисово,Борисовской,N.ADJ,,.ск,Борисов,Борисовск,,ск
Борисовы,Борисовский,N.ADJ,nan.nan,.ск,Борисов,Борисовск,,ск
Боровиков,Боровиковский,N.ADJ,,.ск,Боровиков,Боровиковск,,ск
Боровикова,Боровиковскый,N.ADJ,nan.nan,.ск,Боровиков,Боровиковск,,ск
Борщева,Борщевский,N.ADJ,,.ск,Борщев,Борщевск,,ск
Борщева,Борщевскый,N.ADJ,nan.nan,.ск,Борщев,Борщевск,,ск
Боспоре,Боспорский,N.ADJ,,.ск,Боспор,Боспорск,,ск
Боспор,Боспорскый,N.ADJ,nan.nan,.ск,Боспор,Боспорск,,ск
Ботлиха,Ботлихский,N.ADJ,,.ск,Ботлих,Ботлихск,,ск
Ботлиха,Ботлихскый,N.ADJ,nan.nan,.ск,Ботлих,Ботлихск,,ск
Браилове,Браиловский,N.ADJ,,.ск,Браилов,Браиловск,,ск
Браилов,Браиловский,N.ADJ,nan.nan,.ск,Браилов,Браиловск,,ск
Браслава,Браславский,N.ADJ,,.ск,Браслав,Браславск,,ск
