org_base	org_derived	POS	derivation_prefix,deravation_suffix
Авраамову	Авраамову	ADJ.N	
Авраме	Аврамовый	N.ADJ	,.в
Аврамый	Аврамчик	ADJ.N	,.чик
Аврахам	Аврахамый	N.ADJ	
Аврахамый	Аврахама	ADJ.N	
Аврил	Аврилий	N.ADJ	
Аврорин	Аврориной	N.ADJ	
Автонома	Автономовой	N.ADJ	,.в
Автономовой	Автономова	ADJ.N	
Агапиту	Агапитовой	N.ADJ	,у.в
Агаповский	Агапов	ADJ.N	,ск.
Агафоне	Агафоновой	N.ADJ	,.в
Агафоновой	Агафоновой	ADJ.N	
Агванскый	Агван	ADJ.N	,ск.
Агдаме	Агдамский	N.ADJ	,.ск
Агеевой	Агеевой	ADJ.N	
Агеевой	Агеевца	ADJ.N	,.ц
Агеевой	Агеевы	ADJ.N	
Агеевы	Агеевский	N.ADJ	,.ск
Агиасмой	Агиасма	ADJ.N	
Агибаловой	Агибалова	ADJ.N	
Агибаловой	Агибаловой	ADJ.N	
Агибаловой	Агибаловы	ADJ.N	
Аглая	Аглаин	N.ADJ	,.ин
Аглиуллин	Аглиуллиный	N.ADJ	
Агнешкой	Агнешкой	ADJ.N	
Аграфена	Аграфеной	N.ADJ	
Аграфеной	Аграфены	ADJ.N	
Агрико	Агриковый	N.ADJ	,.в
Агридженто	Агриджентый	N.ADJ	
Агриппина	Агриппиной	N.ADJ	
Агриппиной	Агриппины	ADJ.N	
Агрызский	Агрыза	ADJ.N	,ск.
Агул	Агульский	N.ADJ	,.ьск
Агурскый	Агура	ADJ.N	,ск.
Агуры	Агурский	N.ADJ	,.ск
Агурский	Агурчик	ADJ.N	,ск.чик
Агутина	Агутиный	N.ADJ	
Агя	Агий	N.ADJ	
Агий	Агуша	ADJ.N	,.уш
Адагум	Адагумской	N.ADJ	,.ск
Адагумской	Адагумской	ADJ.N	
Адаманскый	Адаман	ADJ.N	,ск.
Адамант	Адамантный	N.ADJ	,.н
Адамантный	Адаманта	ADJ.N	,н.
Адамовскый	Адамовы	ADJ.N	,ск.
Адамове	Адамовский	N.ADJ	,.ск
Адамовский	Адамовский	ADJ.N	
Адамову	Адамову	ADJ.N	
Адамски	Адамскый	N.ADJ	
Адамы	Адамовой	N.ADJ	,.в
Адамовой	Адамовка	ADJ.N	,.к
Адамы	Адамский	N.ADJ	,.ск
Адамский	Адамский	ADJ.N	
Адамский	Адамчик	ADJ.N	,ск.чик
Адашеве	Адашевый	N.ADJ	
Адашевый	Адашева	ADJ.N	
Аделина	Аделиной	N.ADJ	
Аделиной	Аделины	ADJ.N	
Аден	Аден	ADJ.N	
Аден	Аденский	N.ADJ	,.ск
Аджи	Аджий	N.ADJ	
Аджий	Адж	ADJ.N	
Адж	Аджный	N.ADJ	,.н
Аджария	Аджарской	N.ADJ	,и.ск
Аджарской	Аджар	ADJ.N	,ск.
Адлеровскый	Адлеров	ADJ.N	,ск.
Адлерскый	Адлеры	ADJ.N	,ск.
Адлеры	Адлерский	N.ADJ	,.ск
Адони	Адоный	N.ADJ	
Адоный	Адо	ADJ.N	,н.
Адонирама	Адонирамый	N.ADJ	
Адоратский	Адоратский	ADJ.N	
Адриан	Адрианой	N.ADJ	
Адрианой	Адриа	ADJ.N	,ан.
Адрианополе	Адрианопольский	N.ADJ	,.ьск
Адриатика	Адриатический	N.ADJ	,.еск
Адя	Адиный	N.ADJ	,.ин
Адиный	Адика	ADJ.N	,н.к
Адиный	Ади	ADJ.N	,ин.
Аепый	Аепы	ADJ.N	
Азада	Азадовский	N.ADJ	,.вск
Азарий	Азариевой	N.ADJ	,.иев
Азарову	Азарову	ADJ.N	
Азаровый	Азар	ADJ.N	,в.
Азарина	Азариный	N.ADJ	
Азаровый	Азарова	ADJ.N	
Азаровы	Азаровский	N.ADJ	,.ск
Азема	Аземый	N.ADJ	
Аземый	Азем	ADJ.N	
Ази	Азийский	N.ADJ	,.ийск
Ази	Азиный	N.ADJ	,.ин
Азиный	Азино	ADJ.N	
Азимовскый	Азимов	ADJ.N	,ск.
Азове	Азовский	N.ADJ	,.ск
Азовский	Азова	ADJ.N	,ск.
Азовы	Азовской	N.ADJ	,.ск
Азовский	Азовский	ADJ.N	
Азорскый	Азора	ADJ.N	,ск.
Азоры	Азорский	N.ADJ	,.ск
Айвазовскый	Айвазова	ADJ.N	,ск.
Айвазова	Айвазовский	N.ADJ	,.ск
Айвен	Айвен	ADJ.N	
Айво	Айвый	N.ADJ	
Айвивудовый	Айвивуд	ADJ.N	,в.
Айе	Айной	N.ADJ	,.н
Айной	Айна	ADJ.N	
Айной	Айа	ADJ.N	,н.
Айной	Айнак	ADJ.N	,.ак
Айной	Айны	ADJ.N	
Айкино	Айкиный	N.ADJ	
Айраратской	Айрарат	ADJ.N	,ск.
Айя	Айской	N.ADJ	,.ск
Айской	Аин	ADJ.N	,йск.ин
Акабскый	Акабы	ADJ.N	,ск.
Акабы	Акабский	N.ADJ	,.ск
Акабский	Акаба	ADJ.N	,ск.
Академе	Академый	N.ADJ	
Акаевый	Акаев	ADJ.N	
Акаевый	Акаева	ADJ.N	
Акаевый	Акаевы	ADJ.N	
Акатуй	Акатуйской	N.ADJ	,.ск
Акбулакскый	Акбулак	ADJ.N	,ск.
Акбулак	Акбулакский	N.ADJ	,.ск
Аква	Аквинский	N.ADJ	,.инск
Аквария	Аквариный	N.ADJ	,.н
Аквиле	Аквилейский	N.ADJ	,.йск
Аквитанский	Аквитанский	ADJ.N	
Акивой	Акива	ADJ.N	
Акивой	Акивы	ADJ.N	
Акиля	Акилиный	N.ADJ	,.ин
Акимовна	Акимовной	N.ADJ	
Акимовной	Акимовны	ADJ.N	
Акимовой	Аким	ADJ.N	,в.
Акимовой	Акимовой	ADJ.N	
Акимовскый	Акимов	ADJ.N	,ск.
Акимов	Акимовский	N.ADJ	,.ск
Акимовский	Акимова	ADJ.N	,ск.
Акиньшина	Акиньшиной	N.ADJ	
Аккем	Аккемый	N.ADJ	
Акане	Аканой	N.ADJ	
Акко	Аккый	N.ADJ	
Акмолинской	Акмолинской	ADJ.N	
Акмолы	Акмолинский	N.ADJ	,.инск
Акос	Аксинский	N.ADJ	,.инск
Аксинский	Аксинье	ADJ.N	,ск.
Акрамовый	Акрам	ADJ.N	,в.
Акронскый	Акрона	ADJ.N	,ск.
Акрона	Акроный	N.ADJ	
Аксае	Аксайский	N.ADJ	,.йск
Аксайской	Аксай	ADJ.N	,ск.
Аксаковой	Аксаково	ADJ.N	
Аксаковой	Аксаковы	ADJ.N	
Аксаковы	Аксаковский	N.ADJ	,.ск
Аксеновой	Аксеновой	ADJ.N	
Акси	Аксаной	N.ADJ	,.ан
Аксаной	Аксаны	ADJ.N	
Аксиньине	Аксиньиной	N.ADJ	
Аксиньиной	Аксиньино	ADJ.N	
Аксу	Аксуйской	N.ADJ	,.йск
Аксумскый	Аксум	ADJ.N	,ск.
Аксый	Аксак	ADJ.N	,.ак
Аксый	Аксюша	ADJ.N	,.юш
Актаускый	Актау	ADJ.N	,ск.
Актау	Актауский	N.ADJ	,.ск
Акташскый	Акташа	ADJ.N	,ск.
Актюбинске	Актюбинский	N.ADJ	
Актюбинской	Актюбинска	ADJ.N	
Акулину	Акулину	ADJ.N	
Акулинин	Акулининый	N.ADJ	
Акулины	Акулиной	N.ADJ	
Акулиной	Акулина	ADJ.N	
Акуши	Акушинский	N.ADJ	,.инск
Акчамый	Акчам	ADJ.N	
Акша	Акшин	N.ADJ	,.ин
Алабы	Алабовый	N.ADJ	,.в
Алабовый	Алабовы	ADJ.N	
Алабамскый	Алабамы	ADJ.N	,ск.
Алабамый	Алабама	ADJ.N	
Алабин	Алабиный	N.ADJ	
Алаверди	Алавердский	N.ADJ	,.ск
Алагирскый	Алагира	ADJ.N	,ск.
Алагир	Алагирский	N.ADJ	,.ск
Алайе	Алайский	N.ADJ	,.ск
Алай	Алайской	N.ADJ	,.ск
Алайской	Алака	ADJ.N	,йск.к
Аламе	Аламый	N.ADJ	
Аландскый	Аланда	ADJ.N	,ск.
Аланда	Аландский	N.ADJ	,.ск
Аланской	Алан	ADJ.N	,ск.
Алания	Аланный	N.ADJ	,и.н
Аланный	Аланье	ADJ.N	,н.
Аланьи	Аланьый	N.ADJ	
Аланской	Аланской	ADJ.N	
Аларскый	Алара	ADJ.N	,ск.
Алатаускый	Алатау	ADJ.N	,ск.
Алафузова	Алафузовый	N.ADJ	
Албазине	Албазинский	N.ADJ	,.ск
Албазина	Албазинской	N.ADJ	,.ск
Албазинской	Албазинской	ADJ.N	
Албеной	Албена	ADJ.N	
Алданскый	Алдана	ADJ.N	,ск.
Алдана	Алданский	N.ADJ	,.ск
Алданский	Алдан	ADJ.N	,ск.
Алдошиной	Алдошина	ADJ.N	
Алегам	Алегамый	N.ADJ	
Алейхем	Алейхемый	N.ADJ	
Алекпер	Алекперовый	N.ADJ	,.в
Александра	Александровой	N.ADJ	,.в
Александровой	Александр	ADJ.N	,в.
Александр	Александровский	N.ADJ	,.вск
Александр	Александровской	N.ADJ	,.вск
Александровской	Александровы	ADJ.N	,ск.
Александровской	Александровск	ADJ.N	
Александровской	Александровской	ADJ.N	
Александр	Александрийский	N.ADJ	,.ийск
Александрийский	Александрийский	ADJ.N	
Александера	Александринский	N.ADJ	,.инск
Александрин	Александринской	N.ADJ	,.ск
Александрины	Александриной	N.ADJ	
Александрополь	Александропольский	N.ADJ	,.ьск
Алексахиной	Алексахина	ADJ.N	
Алексееве	Алексеевский	N.ADJ	,.ск
Алексеевский	Алексеевы	ADJ.N	,ск.
Алексеево	Алексеевый	N.ADJ	
Алексеевый	Алексеева	ADJ.N	
Алексеевскый	Алексеевка	ADJ.N	,ск.к
Алексеевскый	Алексеевска	ADJ.N	
Алексееву	Алексееву	ADJ.N	
Алексиевскый	Алексиева	ADJ.N	,ск.
Алексин	Алексинский	N.ADJ	,.ск
Алексин	Алексиный	N.ADJ	
Алексий	Алексиевский	N.ADJ	,.иевск
Алексы	Алексый	N.ADJ	
Аленин	Алениный	N.ADJ	
Аленушкиный	Аленушки	ADJ.N	,ин.
Алеппо	Алеппский	N.ADJ	,.ск
Алеппский	Алеппский	ADJ.N	
Алеутской	Алеут	ADJ.N	,ск.
Алеут	Алеутский	N.ADJ	,.ск
Алеутской	Алеутской	ADJ.N	
Алешиный	Алешинка	ADJ.N	,.к
Алешко	Алешковский	N.ADJ	,.вск
Алешковский	Алешков	ADJ.N	,ск.
Алешковский	Алешковский	ADJ.N	
Алея	Алейский	N.ADJ	,.йск
Алея	Алейской	N.ADJ	,.йск
Алейской	Алейска	ADJ.N	
Алибека	Алибековой	N.ADJ	,.в
Алибековой	Алибекова	ADJ.N	
Алибековой	Алибековой	ADJ.N	
Алия	Алиевой	N.ADJ	,.в
Алиевой	Алиевы	ADJ.N	
Алики	Аликиной	N.ADJ	,.ин
Аликс	Аликс	ADJ.N	
Алимый	Алим	ADJ.N	
Алимый	Алима	ADJ.N	
Алимовой	Алимовой	ADJ.N	
Алис	Алисин	N.ADJ	,.ин
Алитусскый	Алитуса	ADJ.N	,ск.
Алитусе	Алитусский	N.ADJ	,.ск
Алкий	Алкин	ADJ.N	,.ин
Алламый	Аллам	ADJ.N	
Аллахвердиев	Аллахвердиевый	N.ADJ	
Аллилуевой	Аллилуева	ADJ.N	
Аллилуевой	Аллилуевы	ADJ.N	
Алмазово	Алмазовый	N.ADJ	
Алмазовый	Алмазка	ADJ.N	,в.к
Алмата	Алматый	N.ADJ	
Алматый	Алмат	ADJ.N	
Алматый	Алматинка	ADJ.N	,.инк
Алматинской	Алматинец	ADJ.N	,ск.ц
Алматинской	Алматинской	ADJ.N	
Алматы	Алматинский	N.ADJ	,.инск
Алтайск	Алтайскый	N.ADJ	
Алтайский	Алтай	ADJ.N	,ск.
Алтий	Алта	ADJ.N	
Алупке	Алупкинский	N.ADJ	,.инск
Алушта	Алуштинский	N.ADJ	,.инск
Алушта	Алуштый	N.ADJ	
Алфамый	Алфамы	ADJ.N	
Алчево	Алчевской	N.ADJ	,.ск
Алчевской	Алчевска	ADJ.N	
Алчевска	Алчевский	N.ADJ	
Алчевский	Алчевск	ADJ.N	
Альбане	Альбанской	N.ADJ	,.ск
Альбина	Альбиной	N.ADJ	
Альбертовной	Альбертов	ADJ.N	,н.
Альбертовной	Альбертовна	ADJ.N	
Альбы	Альбанский	N.ADJ	,.анск
Альбе	Альбаный	N.ADJ	,.ан
Альбаный	Альбано	ADJ.N	
Альметьевска	Альметьевский	N.ADJ	
Аль	Алиный	N.ADJ	,.ин
Алиный	Алиа	ADJ.N	,н.
Алиный	Али	ADJ.N	,ин.
Али	Аленный	N.ADJ	,.нн
Али	Алинский	N.ADJ	,.инск
Али	Аланой	N.ADJ	,.ан
Аланой	Алаа	ADJ.N	,н.
Альпи	Альпый	N.ADJ	
Альтенхоффен	Альтенхоффен	ADJ.N	
Альтера	Альтерный	N.ADJ	,.н
Альткый	Альтина	ADJ.N	,к.ин
Альтовый	Альтова	ADJ.N	
Алякиный	Алякина	ADJ.N	
Аляской	Аля	ADJ.N	,яск.
Алина	Алинин	N.ADJ	,.ин
Аляской	Аляска	ADJ.N	
Амазонкой	Амазонка	ADJ.N	
Амана	Аманый	N.ADJ	
Амарны	Амарнский	N.ADJ	,.ск
Амарны	Амарный	N.ADJ	
Амарный	Амара	ADJ.N	,н.
Амафунтскый	Амафунт	ADJ.N	,ск.
Амбарцума	Амбарцумовый	N.ADJ	,.в
Амбарцумовый	Амбарцумова	ADJ.N	
Амвросиевский	Амвросиев	ADJ.N	,ск.
Амвросий	Амврос	ADJ.N	
Амелиный	Амелина	ADJ.N	
Амет	Аметовый	N.ADJ	,.в
Аметовый	Аметова	ADJ.N	
Аметовый	Аметовы	ADJ.N	
Аминат	Аминат	ADJ.N	
Амирхановый	Амирхан	ADJ.N	,в.
Амирхановый	Амирханова	ADJ.N	
Амитый	Амит	ADJ.N	
Амитый	Амита	ADJ.N	
Аммоне	Аммоний	N.ADJ	
Аммоне	Аммоновый	N.ADJ	,.в
Аморрейскый	Аморрей	ADJ.N	,ск.
Амсалем	Амсалемый	N.ADJ	
Амуну	Амуновый	N.ADJ	,у.в
Амы	Амный	N.ADJ	,.н
Амный	Амнета	ADJ.N	,.т
Амьене	Амьенский	N.ADJ	,.ск
Амьенский	Амьенский	ADJ.N	
Анабарскый	Анабара	ADJ.N	,ск.
Анабара	Анабарский	N.ADJ	,.ск
Анадырь	Анадырский	N.ADJ	,.ск
Анадырский	Анадырск	ADJ.N	
Анадырь	Анадырской	N.ADJ	,.ск
Анадырской	Анадырска	ADJ.N	
Анакопия	Анакопийской	N.ADJ	,.йск
Анакреонт	анакреонтический	N.ADJ	А.а,.ическ
Анана	Ананий	N.ADJ	
Ананий	Ананий	ADJ.N	
Ананий	Анака	ADJ.N	,н.к
Ананьевскый	Ананьевы	ADJ.N	,ск.
Ананьевы	Ананьевский	N.ADJ	,.ск
Ананьевый	Ананьев	ADJ.N	
Ананьи	Ананский	N.ADJ	,ь.ск
Ананский	Анан	ADJ.N	,ск.
Ананьи	Ананьиной	N.ADJ	,.ин
Анапской	Анапа	ADJ.N	,ск.
Анастаса	Анастасий	N.ADJ	
Анастасий	Анастасий	ADJ.N	
Анатолийскый	Анатолий	ADJ.N	,ийск.
Анатольевны	Анатольевной	N.ADJ	
Анатольевной	Анатольевна	ADJ.N	
Анатольевной	Анатольева	ADJ.N	,н.
Анашиной	Анашина	ADJ.N	
Ангарскый	Ангара	ADJ.N	,ск.
Ангара	Ангарский	N.ADJ	,.ск
Ангарскый	Ангарск	ADJ.N	
Ангелин	Ангелиный	N.ADJ	
Ангелиный	Ангелины	ADJ.N	
Ангелиный	Ангели	ADJ.N	,ин.
Ангели	Ангеловый	N.ADJ	,.в
Ангеловый	Ангелова	ADJ.N	
Ангелину	Ангелину	ADJ.N	
Ангелой	Ангелика	ADJ.N	,.ик
Ангри	Ангренский	N.ADJ	,.нск
Андор	Андрий	N.ADJ	,
Андрий	Андрий	ADJ.N	
Андреи	Андреевский	N.ADJ	,.вск
Андреевский	Андреевский	ADJ.N	
Андрие	Андриевский	N.ADJ	,.вск
Андалузия	Андалузский	N.ADJ	,и.ск
Андами	Андаманский	N.ADJ	,.анск
Андаманский	Андаман	ADJ.N	,ск.
Анджелине	Анджелиной	N.ADJ	
Анджелиной	Анджелины	ADJ.N	
Анджелиной	Анджелино	ADJ.N	
Андижанской	Андижан	ADJ.N	,ск.
Андижанской	Андижана	ADJ.N	,ск.
Андижана	Андижанский	N.ADJ	,.ск
Андреаполя	Андреапольский	N.ADJ	,.ьск
Андреева	Андреевской	N.ADJ	,.ск
Андреевской	Андреевы	ADJ.N	,ск.
Андреевой	Андреев	ADJ.N	
Андреевой	Андреевка	ADJ.N	,.к
Андреевой	Андреевой	ADJ.N	
Андреян	Андреяновский	N.ADJ	,.вск
Андреяновский	Андреянова	ADJ.N	,ск.
Андреяновский	Андреянов	ADJ.N	,ск.
Андрониковый	Андроник	ADJ.N	,в.
Андрониковый	Андроникова	ADJ.N	
Андроновой	Андронова	ADJ.N	
Андроновой	Андроновой	ADJ.N	
Андрусове	Андрусовский	N.ADJ	,.ск
Андрюшина	Андрюшиной	N.ADJ	
Андрюша	Андрюшин	N.ADJ	,.ин
Анды	Андийский	N.ADJ	,.ийск
Аника	Аниный	N.ADJ	,к.н
Анжеликой	Анжелик	ADJ.N	
Анжеликой	Анжелика	ADJ.N	
Анжелины	Анжелиной	N.ADJ	
Анжу	Анжуйской	N.ADJ	,.йск
Анзере	Анзерский	N.ADJ	,.ск
Анзерскый	Анзер	ADJ.N	,ск.
Анивский	Анива	ADJ.N	,ск.
Анивы	Анивской	N.ADJ	,.ск
Аникушки	Аникушкиной	N.ADJ	,.ин
Анимый	Анима	ADJ.N	
Анисима	Анисимый	N.ADJ	
Анисимый	Анисим	ADJ.N	
Анисимовой	Анисимовой	ADJ.N	
Анисии	Анисиной	N.ADJ	,.н
Аник	Аникин	N.ADJ	,.ин
Аникина	Аникиной	N.ADJ	
Аниськин	Аниськиный	N.ADJ	
Анисье	Анисьий	N.ADJ	,.ь
Анисьий	Аниська	ADJ.N	,.к
Анисья	Анисьин	N.ADJ	,.ьин
Аничка	Аничкин	N.ADJ	,.ин
Аничкин	Аничкин	ADJ.N	
Аничка	Аничков	N.ADJ	,.в
Аничкове	Аничковый	N.ADJ	
Аничковый	Аничково	ADJ.N	
Анкирскый	Анкира	ADJ.N	,ск.
Аннам	Аннамский	N.ADJ	,.ск
Аннибалы	Аннибаловой	N.ADJ	,.в
Анон	Анний	N.ADJ	,
Анний	Аны	ADJ.N	,н.
Аны	Аной	N.ADJ	
Аной	Анета	ADJ.N	,.т
Антоха	Антохый	N.ADJ	
Антохый	Антохин	ADJ.N	,.ин
Аной	Анюша	ADJ.N	,.юш
Аны	Анивый	N.ADJ	,.ив
Аны	Анный	N.ADJ	,.н
Анный	Аннета	ADJ.N	,.т
Анный	Анник	ADJ.N	,.ик
Анный	Аннин	ADJ.N	,.ин
Аннин	Аннинской	N.ADJ	,.ск
Аннинской	Аннина	ADJ.N	,ск.
Анный	Анна	ADJ.N	
Анни	Анненский	N.ADJ	,.нск
Анния	Анниной	N.ADJ	,.н
Анн	Аннинский	N.ADJ	,.инск
Анон	Аноний	N.ADJ	
Аносова	Аносовый	N.ADJ	
Аносовый	Анос	ADJ.N	,в.
Анохина	Анохиный	N.ADJ	
Анталия	Анталийский	N.ADJ	,.йск
Анталия	Анталийской	N.ADJ	,.йск
Антантой	Антанта	ADJ.N	
Антверпенскый	Антверпен	ADJ.N	,ск.
Антиатом	Антиатомный	N.ADJ	,.н
Антигон	Антигоной	N.ADJ	
Антиохии	Антиохийской	N.ADJ	,.йск
Антиохия	Антиохийский	N.ADJ	,.йск
Антипина	Антипинский	N.ADJ	,.ск
Антипин	Антипиной	N.ADJ	
Антираковый	Антирак	ADJ.N	,в.
Антон	Антонов	N.ADJ	,.в
Антонов	Антонов	ADJ.N	
Антонове	Антоновной	N.ADJ	,.н
Антоновной	Антоновны	ADJ.N	
Антонио	Антониевой	N.ADJ	,.в
Антониевой	Антониево	ADJ.N	
Антони	Антониев	N.ADJ	,.иев
Антоние	Антониной	N.ADJ	,.н
Антоновскый	Антонова	ADJ.N	,ск.
Антоновы	Антоновский	N.ADJ	,.ск
Антоше	Антошевский	N.ADJ	,.вск
Антошевский	Антошевский	ADJ.N	
Антошиной	Антоши	ADJ.N	,ин.
Анучина	Анучиный	N.ADJ	
Анучинскый	Анучин	ADJ.N	,ск.
Анфим	Анфимый	N.ADJ	
Анч	Анчевский	N.ADJ	,.вск
Аншуковой	Аншукова	ADJ.N	
Анютки	Анюткиный	N.ADJ	,.ин
Аой	Ауха	ADJ.N	,.ух
Аояма	Аоямый	N.ADJ	
Апанаевской	Апанаева	ADJ.N	,ск.
Апариной	Апарина	ADJ.N	
Апатитской	Апатиты	ADJ.N	,ск.
Апеннин	Апеннинский	N.ADJ	,.ск
Апеннинский	Апеннины	ADJ.N	,ск.
Аполлоновскый	Аполлонова	ADJ.N	,ск.
Аппалачи	Аппалачской	N.ADJ	,.ск
Аппенинский	Аппенин	ADJ.N	,ск.
Апраксин	Апраксиной	N.ADJ	
Апраксиной	Апраксины	ADJ.N	
Апрелева	Апрелевский	N.ADJ	,.ск
Апрелевский	Апрелев	ADJ.N	,ск.
Апрелевскый	Апрелевка	ADJ.N	,ск.к
Аптекарск	Аптекарскый	N.ADJ	
Апшеронскый	Апшеронска	ADJ.N	
Апшеронске	Апшеронский	N.ADJ	
Арабатской	Арабат	ADJ.N	,ск.
Араве	Аравийский	N.ADJ	,.ийск
Аравийский	Аравийский	ADJ.N	
Арагацотнской	Арагацотн	ADJ.N	,ск.
Арагония	Арагонский	N.ADJ	,и.ск
Арагонский	Арагонский	ADJ.N	
Арагония	Арагонской	N.ADJ	,и.ск
Арагонской	Арагоны	ADJ.N	,ск.
Арагорн	Арагорный	N.ADJ	
Аракчееве	Аракчеевский	N.ADJ	,.ск
Аракчеевский	Аракчеев	ADJ.N	,ск.
Арал	Аральской	N.ADJ	,.ьск
Аральске	Аральский	N.ADJ	
Аральский	Аральск	ADJ.N	
Арарат	Араратской	N.ADJ	,.ск
Арарат	Араратский	N.ADJ	,.ск
Арбатовой	Арбатова	ADJ.N	
Арбатовой	Арбатовой	ADJ.N	
Арбатскый	Арбат	ADJ.N	,ск.
Арбатскый	Арбатец	ADJ.N	,ск.ц
Арбузове	Арбузовый	N.ADJ	
Арбузовый	Арбузово	ADJ.N	
Аргаяш	Аргаяшский	N.ADJ	,.ск
Аргонн	Аргоннской	N.ADJ	,.ск
Аргошый	Аргоша	ADJ.N	
Аргунской	Аргуна	ADJ.N	,ск.
Ардатов	Ардатовской	N.ADJ	,.ск
Ардашева	Ардашевый	N.ADJ	
Ардашевый	Ардашев	ADJ.N	
Арденны	Арденнский	N.ADJ	,.ск
Арджун	Арджуной	N.ADJ	
Арджуной	Арджуна	ADJ.N	
Ардон	Ардонский	N.ADJ	,.ск
Арди	Арденный	N.ADJ	,.нн
Арденный	Арден	ADJ.N	,н.
Арени	Ареновской	N.ADJ	,.вск
Ареопагитскый	Ареопагит	ADJ.N	,ск.
Арефьевой	Арефьевой	ADJ.N	
Арзамасе	Арзамасский	N.ADJ	,.ск
Арзамасской	Арзамас	ADJ.N	,ск.
Арзгирскый	Арзгир	ADJ.N	,ск.
Ариадна	Ариадной	N.ADJ	
Ариадне	Ариадне	ADJ.N	,
Ариево	Ариевый	N.ADJ	
Аризоне	Аризоной	N.ADJ	
Аризона	Аризонский	N.ADJ	,.ск
Аримана	Ариманый	N.ADJ	
Аримафея	Аримафейский	N.ADJ	,.йск
Аримафейский	Аримафейский	ADJ.N	
Аристотелево	Аристотелевый	N.ADJ	
Аристотелевый	Аристотелева	ADJ.N	
Арифулин	Арифулиной	N.ADJ	
Аркаима	Аркаимый	N.ADJ	
Аркаша	Аркашин	N.ADJ	,.ин
Арколе	Аркольский	N.ADJ	,.ьск
Арктикой	Арктика	ADJ.N	
Аркхэме	Аркхэмый	N.ADJ	
Арли	Арльский	N.ADJ	,.ьск
Арльскый	Арлин	ADJ.N	,ьск.ин
Арма	Арманый	N.ADJ	,.ан
