form,lemma,upos,feats
argues,argue,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
involve,involve,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
outweigh,outweigh,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
take,take,VERB,{'VerbForm': 'Inf'}
defined,define,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}"
determine,determine,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
establish,establish,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
affect,affect,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
determine,determine,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
stimulating,stimulate,VERB,{'VerbForm': 'Ger'}
discouraging,discourage,VERB,{'VerbForm': 'Ger'}
requires,require,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
reduces,reduce,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
existing,exist,VERB,{'VerbForm': 'Ger'}
guarantees,guarantee,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
believe,believe,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
taken,take,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}"
achieving,achieve,VERB,{'VerbForm': 'Ger'}
requires,require,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
guarantee,guarantee,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
incorporate,incorporate,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
promote,promote,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
based,base,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}"
takes,take,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
promoting,promote,VERB,{'VerbForm': 'Ger'}
protect,protect,VERB,{'VerbForm': 'Inf'}
provide,provide,VERB,{'VerbForm': 'Inf'}
ensure,ensure,VERB,{'VerbForm': 'Inf'}
imposing,impose,VERB,{'VerbForm': 'Ger'}
promoting,promote,VERB,{'VerbForm': 'Ger'}
penalizing,penalize,VERB,{'VerbForm': 'Ger'}
establishes,establish,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
adopted,adopt,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}"
are,be,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
implemented,implement,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}"
wins,win,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
make,make,VERB,{'VerbForm': 'Inf'}
adopts,adopt,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
promoting,promote,VERB,{'VerbForm': 'Ger'}
develop,develop,VERB,{'VerbForm': 'Inf'}
guarantee,guarantee,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
promote,promote,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
based,base,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}"
benefit,benefit,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
implementing,implement,VERB,{'VerbForm': 'Ger'}
reflected,reflect,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}"
increased,increase,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}"
implemented,implement,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}"
consolidated,consolidate,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}"
extracts,extract,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
oppose,oppose,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
increased,increase,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}"
results,result,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
have,have,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
devolving,devolve,VERB,{'VerbForm': 'Ger'}
occur,occur,VERB,{'VerbForm': 'Inf'}
follows,follow,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
restricting,restrict,VERB,{'VerbForm': 'Ger'}
creating,create,VERB,{'VerbForm': 'Ger'}
benefit,benefit,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
reflect,reflect,VERB,{'VerbForm': 'Inf'}
happens,happen,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
respected,respect,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}"
exhibits,exhibit,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
have,have,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
presents,present,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
encouraged,encourage,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}"
taken,take,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}"
based,base,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}"
respect,respect,VERB,{'VerbForm': 'Inf'}
reduced,reduce,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}"
result,result,VERB,{'VerbForm': 'Inf'}
acts,act,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
discussed,discuss,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}"
following,follow,VERB,{'VerbForm': 'Ger'}
attract,attract,VERB,{'VerbForm': 'Inf'}
understand,understand,VERB,{'VerbForm': 'Inf'}
have,have,VERB,{'VerbForm': 'Inf'}
originated,originate,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}"
reflects,reflect,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
influenced,influence,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}"
achieving,achieve,VERB,{'VerbForm': 'Ger'}
require,require,VERB,{'VerbForm': 'Inf'}
limit,limit,VERB,{'VerbForm': 'Inf'}
guarantee,guarantee,VERB,{'VerbForm': 'Inf'}
occurred,occur,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}"
takes,take,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
broken,break,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}"
giving,give,VERB,{'VerbForm': 'Ger'}
broken,break,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}"
creating,create,VERB,{'VerbForm': 'Ger'}
enjambed,enjamb,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}"
takes,take,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
described,describe,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}"
exist,exist,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
see,see,VERB,"{'Mood': 'Imp', 'Person': '2', 'VerbForm': 'Fin'}"
including,include,VERB,{'VerbForm': 'Ger'}
identify,identify,VERB,{'VerbForm': 'Inf'}
spanning,span,VERB,{'VerbForm': 'Ger'}
enabling,enable,VERB,{'VerbForm': 'Ger'}
given,give,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}"
developed,develop,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}"
based,base,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}"
identifies,identify,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
applied,apply,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}"
shows,show,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
considered,consider,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}"
trigger,trigger,VERB,{'VerbForm': 'Inf'}
identify,identify,VERB,{'VerbForm': 'Inf'}
permits,permit,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
collecting,collect,VERB,{'VerbForm': 'Ger'}
provides,provide,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
assess,assess,VERB,{'VerbForm': 'Inf'}
stimulate,stimulate,VERB,{'VerbForm': 'Inf'}
complements,complement,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
covering,cover,VERB,{'VerbForm': 'Ger'}
focusing,focus,VERB,{'VerbForm': 'Ger'}
structured,structure,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}"
provide,provide,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '1', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
adopted,adopt,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}"
described,describe,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}"
followed,follow,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}"
discussed,discuss,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}"
provides,provide,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
omitted,omit,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}"
including,include,VERB,{'VerbForm': 'Ger'}
match,match,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
broken,break,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}"
considered,consider,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}"
take,take,VERB,{'VerbForm': 'Inf'}
suggested,suggest,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}"
occurs,occur,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
connected,connect,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}"
triggering,trigger,VERB,{'VerbForm': 'Ger'}
performed,perform,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}"
proposing,propose,VERB,{'VerbForm': 'Ger'}
following,follow,VERB,{'VerbForm': 'Ger'}
connected,connect,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}"
give,give,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
break,break,VERB,{'VerbForm': 'Inf'}
breaking,break,VERB,{'VerbForm': 'Ger'}
translated,translate,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '1', 'Tense': 'Past', 'VerbForm': 'Fin'}"
bounded,bound,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}"
breaking,break,VERB,{'VerbForm': 'Ger'}
translated,translate,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '1', 'Tense': 'Past', 'VerbForm': 'Fin'}"
bounded,bound,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}"
heading,head,VERB,{'VerbForm': 'Ger'}
complements,complement,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
