form,lemma,upos,feats,frequency,Log_Freq_HAL,I_Mean_RT
is,be,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",94,5.6624,728.5322812521929
define,define,VERB,{'VerbForm': 'Inf'},4,2.5038,779.5853238617059
vary,vary,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",2,1.6812,792.8811615273125
organized,organize,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",8,2.716,776.1554955701404
approximates,approximate,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",1,0.0,820.0547115922506
lack,lack,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",2,2.9571,772.2585511728905
encompassing,encompass,VERB,{'VerbForm': 'Ger'},2,0.0,820.0547115922506
distributed,distribute,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",5,1.8325,790.4356713269646
based,base,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",46,3.1329,769.4170628898688
assembling,assemble,VERB,{'VerbForm': 'Ger'},2,1.6232,793.8186263760911
tended,tend,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",3,1.716,792.3186826180455
avoid,avoid,VERB,{'VerbForm': 'Inf'},16,3.0934,770.055508778261
assembled,assemble,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}",1,2.1903,784.652483001224
shed,shed,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",1,2.749,775.6221103975595
evolving,evolve,VERB,{'VerbForm': 'Ger'},1,1.7709,791.4313236491155
changing,change,VERB,{'VerbForm': 'Ger'},11,3.1271,769.5108093747466
documents,document,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",1,2.6803,776.7325213477505
provide,provide,VERB,{'VerbForm': 'Inf'},19,2.9489,772.3910893066833
suffer,suffer,VERB,{'VerbForm': 'Inf'},3,3.0603,770.5905102695467
inject,inject,VERB,{'VerbForm': 'Inf'},1,2.0934,786.2186958261661
make,make,VERB,{'VerbForm': 'Inf'},139,4.8499,741.6648707286158
washed,wash,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",3,2.8567,773.8813351525001
masking,mask,VERB,{'VerbForm': 'Ger'},1,1.2788,799.3852279953895
present,present,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '1', 'Tense': 'Pres', 'VerbForm': 'Fin'}",8,3.6593,760.9087612278515
assemble,assemble,VERB,{'VerbForm': 'Inf'},2,2.2148,784.2564849185504
adapted,adapt,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",2,1.7559,791.6737714548341
collecting,collect,VERB,{'VerbForm': 'Ger'},7,2.5441,778.9339474236752
required,require,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",12,2.7388,775.7869749054481
do,do,VERB,{'VerbForm': 'Inf'},135,5.4954,731.231533489193
providing,provide,VERB,{'VerbForm': 'Ger'},7,2.3139,782.6547130821031
having,have,VERB,{'VerbForm': 'Ger'},24,4.1689,752.6720011082391
rely,rely,VERB,{'VerbForm': 'Inf'},6,2.5647,778.6009857704885
study,study,VERB,{'VerbForm': 'Inf'},17,3.3983,765.1273530473547
changes,change,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",3,3.1708,768.8044781007532
evaluating,evaluate,VERB,{'VerbForm': 'Ger'},3,1.3222,798.6837456775105
meant,mean,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",11,3.7257,759.8355256078706
broaden,broaden,VERB,{'VerbForm': 'Inf'},1,1.7076,792.4544533892479
improve,improve,VERB,{'VerbForm': 'Inf'},16,2.617,777.7556510878829
applied,apply,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",9,2.4983,779.6742213904694
elucidate,elucidate,VERB,{'VerbForm': 'Inf'},1,0.8451,806.395202218066
relate,relate,VERB,{'VerbForm': 'Inf'},2,2.3856,781.4958125707682
benefit,benefit,VERB,{'VerbForm': 'Inf'},4,2.8651,773.7455643812978
recollected,recollect,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",1,0.6021,810.3228566707069
follows,follow,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",10,2.5705,778.5072392856106
begin,begin,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '1', 'Tense': 'Pres', 'VerbForm': 'Fin'}",11,3.4634,764.0751295705361
detailing,detail,VERB,{'VerbForm': 'Ger'},1,0.0,820.0547115922506
demonstrates,demonstrate,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",1,1.4624,796.4176668533942
comparing,compare,VERB,{'VerbForm': 'Ger'},3,2.0531,786.8700722641967
curated,curate,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",1,0.0,820.0547115922506
collected,collect,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",8,2.4683,780.1591170019065
enabled,enable,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",3,1.5441,795.0971344715804
uses,use,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",5,2.8915,773.3188562432331
witnessed,witness,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",1,2.4654,780.2059902443455
contributed,contribute,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",2,1.9395,788.7062103128387
analyzed,analyze,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",2,2.0453,786.9961451231703
argues,argue,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",4,1.3222,798.6837456775105
involve,involve,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",5,2.5198,779.3267128689394
outweigh,outweigh,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",1,1.3979,797.4601924179841
take,take,VERB,{'VerbForm': 'Inf'},94,4.9843,739.4925383893773
defined,define,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}",8,1.9494,788.5461947610644
determine,determine,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",8,2.6325,777.5051216886404
affect,affect,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",3,2.7551,775.5235149565673
stimulating,stimulate,VERB,{'VerbForm': 'Ger'},3,2.0828,786.3900256088739
discouraging,discourage,VERB,{'VerbForm': 'Ger'},2,1.6232,793.8186263760911
requires,require,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",8,2.6902,776.5725057959763
reduces,reduce,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",4,1.3617,798.0452997891182
existing,exist,VERB,{'VerbForm': 'Ger'},7,1.9956,787.7994555194512
guarantees,guarantee,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",2,2.0492,786.9331086936835
believe,believe,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",24,4.5036,747.2621824033052
taken,take,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",28,3.8495,757.8345230513399
achieving,achieve,VERB,{'VerbForm': 'Ger'},6,1.5798,794.5201086939701
guarantee,guarantee,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",4,3.0508,770.7440605465017
incorporate,incorporate,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",1,1.6021,794.1596696228019
promote,promote,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",4,2.3541,782.0049529627772
promoting,promote,VERB,{'VerbForm': 'Ger'},5,1.9685,788.2374778884495
protect,protect,VERB,{'VerbForm': 'Inf'},4,3.5544,762.6042795491768
ensure,ensure,VERB,{'VerbForm': 'Inf'},14,2.4048,781.1854793794485
imposing,impose,VERB,{'VerbForm': 'Ger'},1,1.7243,792.1845281655478
penalizing,penalize,VERB,{'VerbForm': 'Ger'},1,0.0,820.0547115922506
establishes,establish,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",1,1.0792,802.6114001301514
adopted,adopt,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",7,2.6345,777.4727953145447
implemented,implement,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",4,1.1761,801.0451873052094
wins,win,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",2,2.9952,771.6427337463653
adopts,adopt,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",1,1.0792,802.6114001301514
develop,develop,VERB,{'VerbForm': 'Inf'},8,2.6911,776.5579589276332
implementing,implement,VERB,{'VerbForm': 'Ger'},5,1.4771,796.18006800379
reflected,reflect,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",4,1.9345,788.7870262480782
increased,increase,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",15,2.3201,782.554501322406
consolidated,consolidate,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",1,7.105,705.2152676168851
extracts,extract,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",1,1.0,803.8915245443454
oppose,oppose,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",1,2.0453,786.9961451231703
results,result,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",3,3.0641,770.5290901587647
devolving,devolve,VERB,{'VerbForm': 'Ger'},1,0.0,820.0547115922506
occur,occur,VERB,{'VerbForm': 'Inf'},6,2.5798,778.3569216460651
restricting,restrict,VERB,{'VerbForm': 'Ger'},1,1.1461,801.5300829166465
creating,create,VERB,{'VerbForm': 'Ger'},8,2.5988,778.0498210921548
reflect,reflect,VERB,{'VerbForm': 'Inf'},4,2.3304,782.3880204958126
happens,happen,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",10,3.8449,757.9088737117604
respected,respect,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",1,2.5276,779.2006400099657
exhibits,exhibit,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",1,1.8195,790.6457927585873
presents,present,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",1,2.9886,771.7494107808815
respect,respect,VERB,{'VerbForm': 'Inf'},2,3.5617,762.486288283727
reduced,reduce,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",4,2.3962,781.3244827880604
result,result,VERB,{'VerbForm': 'Inf'},4,3.0039,771.5021140190486
acts,act,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",1,2.8041,774.73151879122
discussed,discuss,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",9,2.7316,775.9033498521931
following,follow,VERB,{'VerbForm': 'Ger'},16,3.3638,765.6849830005075
attract,attract,VERB,{'VerbForm': 'Inf'},3,2.4639,780.2302350249173
originated,originate,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}",2,1.8388,790.3338432485627
reflects,reflect,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",3,1.8976,789.3834478501459
require,require,VERB,{'VerbForm': 'Inf'},10,2.7348,775.8516276536398
limit,limit,VERB,{'VerbForm': 'Inf'},3,2.8228,774.4292671934242
occurred,occur,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",6,2.8681,773.6970748201541
broken,break,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",9,3.5605,762.5056841081846
giving,give,VERB,{'VerbForm': 'Ger'},4,3.7493,759.45407439354
enjambed,enjamb,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",1,0.0,820.0547115922506
described,describe,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",12,2.6656,776.9701201973548
exist,exist,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",18,3.1697,768.8222576065059
identify,identify,VERB,{'VerbForm': 'Inf'},5,2.917,772.9066949735114
spanning,span,VERB,{'VerbForm': 'Ger'},2,1.0414,803.2223686005622
enabling,enable,VERB,{'VerbForm': 'Ger'},2,1.3424,798.3572492991428
given,give,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",26,3.6859,760.4788204523772
developed,develop,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",18,2.8102,774.6329233502278
identifies,identify,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",5,1.6021,794.1596696228019
considered,consider,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",18,3.073,770.3852377940383
trigger,trigger,VERB,{'VerbForm': 'Inf'},2,2.9355,772.6076760131252
permits,permit,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",2,2.1553,785.2181945479008
stimulate,stimulate,VERB,{'VerbForm': 'Inf'},1,1.8513,790.1318034104639
complements,complement,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",2,0.8451,806.395202218066
covering,cover,VERB,{'VerbForm': 'Ger'},1,2.8028,774.7525309343822
structured,structure,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",2,1.5441,795.0971344715804
followed,follow,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",12,3.2405,767.6779039635142
omitted,omit,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",2,1.2788,799.3852279953895
match,match,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",2,3.4017,765.0723982113918
suggested,suggest,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}",3,2.721,776.0746796349008
occurs,occur,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",2,2.233,783.9623149142785
connected,connect,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",8,2.9455,772.4460441426462
triggering,trigger,VERB,{'VerbForm': 'Ger'},1,0.0,820.0547115922506
performed,perform,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}",7,2.5729,778.4684476366956
proposing,propose,VERB,{'VerbForm': 'Ger'},4,2.2041,784.429431019963
give,give,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",38,4.775,742.8754934385038
break,break,VERB,{'VerbForm': 'Inf'},4,4.0522,754.5582450367297
breaking,break,VERB,{'VerbForm': 'Ger'},7,3.3336,766.1731112493542
translated,translate,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '1', 'Tense': 'Past', 'VerbForm': 'Fin'}",5,2.1072,785.995643844905
bounded,bound,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",2,1.0,803.8915245443454
heading,head,VERB,{'VerbForm': 'Ger'},5,3.2325,767.8072094598974
includes,include,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",7,2.4314,780.7555386039742
identified,identify,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",13,2.7202,776.0876101845392
noted,note,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}",6,2.3909,781.4101476794143
feel,feel,VERB,{'VerbForm': 'Inf'},41,4.505,747.2395539414382
pronounced,pronounce,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",6,2.1847,784.7429968486923
differentiate,differentiate,VERB,{'VerbForm': 'Inf'},1,1.2553,799.7650628910153
calls,call,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",1,3.6126,761.6635820629887
gather,gather,VERB,{'VerbForm': 'Inf'},3,2.9031,773.1313632734774
proposed,propose,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",12,2.5366,779.0551713265346
reviews,review,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",1,2.1818,784.7898700911313
choose,choose,VERB,{'VerbForm': 'Inf'},14,3.3895,765.2695890933763
distinguish,distinguish,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",5,1.9638,788.3134448675746
known,know,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",50,3.7994,758.64429872244
satisfy,satisfy,VERB,{'VerbForm': 'Inf'},1,2.4579,780.3272141472047
know,know,VERB,{'VerbForm': 'Inf'},182,5.4651,731.7212780567446
utilize,utilize,VERB,{'VerbForm': 'Inf'},2,1.6628,793.1785641689941
guide,guide,VERB,{'VerbForm': 'Inf'},2,2.9595,772.2197595239755
enjoy,enjoy,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",16,3.6256,761.4534606313659
use,use,VERB,{'VerbForm': 'Inf'},68,4.244,751.4581457609414
assessed,assess,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",2,1.3802,797.746280828732
mimic,mimic,VERB,{'VerbForm': 'Inf'},4,1.6128,793.9867235213893
live,live,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '1', 'Tense': 'Pres', 'VerbForm': 'Fin'}",24,4.2449,751.4435988925983
