form,lemma,upos,feats,frequency,Log_Freq_HAL,I_Mean_RT
differentiate,differentiate,VERB,['Inf'],1,1.2553,799.7650628910153
calls,call,VERB,"['Ind', 'Sing', 'Pres', 'Fin', '3']",1,3.6126,761.6635820629887
gather,gather,VERB,['Inf'],3,2.9031,773.1313632734774
proposed,propose,VERB,"['Past', 'Part']",12,2.5366,779.0551713265346
reviews,review,VERB,"['Ind', 'Sing', 'Pres', 'Fin', '3']",1,2.1818,784.7898700911313
choose,choose,VERB,['Inf'],14,3.3895,765.2695890933763
distinguish,distinguish,VERB,['Inf'],5,1.9638,788.3134448675746
known,know,VERB,"['Past', 'Part']",50,3.7994,758.64429872244
satisfy,satisfy,VERB,['Inf'],1,2.4579,780.3272141472047
know,know,VERB,['Inf'],182,5.4651,731.7212780567446
utilize,utilize,VERB,['Inf'],2,1.6628,793.1785641689941
guide,guide,VERB,['Inf'],2,2.9595,772.2197595239755
enjoy,enjoy,VERB,['Inf'],16,3.6256,761.4534606313659
use,use,VERB,['Inf'],68,4.244,751.4581457609414
assessed,assess,VERB,"['Past', 'Part']",2,1.3802,797.746280828732
mimic,mimic,VERB,['Inf'],4,1.6128,793.9867235213893
live,live,VERB,['Inf'],24,4.2449,751.4435988925983
polluted,pollute,VERB,"['Past', 'Part']",1,1.7076,792.4544533892479
inflating,inflate,VERB,['Ger'],1,0.0,820.0547115922506
diminishes,diminish,VERB,"['Ind', 'Sing', 'Pres', 'Fin', '3']",1,0.9031,805.4577373692875
deceiving,deceive,VERB,['Ger'],1,1.9542,788.4686114632344
set,set,VERB,['Inf'],23,4.0721,754.2365976144763
taking,take,VERB,['Ger'],24,4.0886,753.9699050281858
advocate,advocate,VERB,['Inf'],1,2.0569,786.8086521534146
had,have,VERB,"['Past', 'Part']",104,4.9318,740.3411057093923
intended,intend,VERB,"['Past', 'Part']",2,2.7796,775.1275168738937
muddying,muddy,VERB,['Ger'],1,0.0,820.0547115922506
misleading,mislead,VERB,['Ger'],1,1.6435,793.4905136790186
thinking,think,VERB,['Ger'],18,4.157,752.8643430341092
speaks,speak,VERB,"['Ind', 'Sing', 'Pres', 'Fin', '3']",2,3.029,771.0964180241461
issued,issue,VERB,"['Fin', 'Ind', 'Past']",2,2.4533,780.401564807625
condemning,condemn,VERB,['Ger'],1,1.6721,793.0282465294484
mistook,mistake,VERB,"['Fin', 'Ind', 'Past']",1,1.9031,789.2945503213824
expected,expect,VERB,"['Past', 'Part']",13,3.2297,767.8524663836315
allows,allow,VERB,"['Ind', 'Sing', 'Pres', 'Fin', '3']",5,2.4472,780.5001602486172
encourages,encourage,VERB,"['Ind', 'Sing', 'Pres', 'Fin', '3']",3,1.5185,795.5109120600067
introduces,introduce,VERB,"['Ind', 'Sing', 'Pres', 'Fin', '3']",2,1.5051,795.7274987664487
involved,involve,VERB,"['Past', 'Part']",14,3.5398,762.8402620800762
mimicking,mimick,VERB,['Ger'],1,0.0,820.0547115922506
reviewed,review,VERB,"['Past', 'Part']",3,2.1271,785.6739964226517
hoped,hope,VERB,"['Fin', 'Ind', 'Past']",1,2.9196,772.864670687187
leverage,leverage,VERB,['Inf'],1,2.1461,785.3668958687415
endow,endow,VERB,['Inf'],1,1.0792,802.6114001301514
uncovered,uncover,VERB,"['Neg', 'Past', 'Part', 'Pass']",3,2.1173,785.8323956557211
published,publish,VERB,"['Past', 'Part']",27,2.5658,778.5832062647357
diminished,diminish,VERB,"['Past', 'Part']",2,1.8062,790.8607631463244
growing,grow,VERB,['Ger'],13,3.1841,768.589507713016
publish,publish,VERB,['Inf'],3,2.4166,780.9947537722832
appear,appear,VERB,['Inf'],13,3.0766,770.3270503206659
work,work,VERB,['Inf'],27,4.6096,745.5488845762274
appears,appear,VERB,"['Ind', 'Sing', 'Pres', 'Fin', '3']",5,3.0314,771.0576263752312
pay,pay,VERB,['Inf'],15,4.1135,753.567441670693
engaged,engage,VERB,"['Past', 'Part']",4,3.1232,769.5738458042334
linking,link,VERB,['Ger'],3,1.8325,790.4356713269646
questioning,question,VERB,['Ger'],2,2.716,776.1554955701404
decided,decide,VERB,"['Fin', 'Ind', 'Past']",18,3.6553,760.9734139760432
add,add,VERB,['Inf'],32,3.2271,767.8944906699561
surrounding,surround,VERB,['Ger'],3,2.2856,783.1121312755587
indicates,indicate,VERB,"['Ind', 'Sing', 'Pres', 'Fin', '3']",3,2.444,780.5518824471706
assessing,assess,VERB,['Ger'],4,1.4472,796.6633472965224
expect,expect,VERB,['Inf'],9,3.7243,759.8581540697377
lowered,lower,VERB,"['Past', 'Part']",1,1.9731,788.1631272280291
blame,blame,VERB,['Inf'],2,3.477,763.8553102266847
discount,discount,VERB,['Inf'],1,2.3874,781.466718834082
note,note,VERB,['Inf'],10,3.4365,764.5099193021248
stem,stem,VERB,['Inf'],1,2.0607,786.7472320426326
game,game,VERB,['Inf'],1,4.0765,754.1654795914656
put,put,VERB,"['Past', 'Part']",68,4.6258,745.2870409460513
track,track,VERB,['Inf'],1,3.4539,764.2286798474912
consider,consider,VERB,['Inf'],20,3.4276,764.6537716668512
credentialing,credential,VERB,['Ger'],1,0.0,820.0547115922506
credential,credential,VERB,['Inf'],1,0.0,820.0547115922506
come,come,VERB,['Inf'],57,12.355,620.3585356153834
inflate,inflate,VERB,['Inf'],2,1.415,797.1838019194649
increasing,increase,VERB,['Ger'],6,2.2122,784.298509204875
bringing,bring,VERB,['Ger'],9,3.3585,765.7706478918614
attracting,attract,VERB,['Ger'],3,1.7709,791.4313236491155
manipulated,manipulate,VERB,"['Past', 'Part']",1,1.9731,788.1631272280291
attempted,attempt,VERB,"['Fin', 'Ind', 'Past']",3,2.5944,778.1209391151657
boost,boost,VERB,['Inf'],1,2.3636,781.8514026858221
urging,urge,VERB,['Ger'],1,1.7559,791.6737714548341
cite,cite,VERB,['Inf'],1,1.6902,792.7356928438815
try,try,VERB,['Inf'],38,4.3859,749.1645895188437
keep,keep,VERB,['Inf'],35,4.5545,746.439476182567
working,work,VERB,['Ger'],23,4.1064,753.6822002987332
made,make,VERB,"['Past', 'Part']",85,4.4568,748.0186195571472
recurring,recur,VERB,['Ger'],3,1.7782,791.3133323836657
suggest,suggest,VERB,['Inf'],11,3.3015,766.6919495535919
improving,improve,VERB,['Ger'],2,2.0792,786.4482130822463
perceive,perceive,VERB,['Inf'],1,1.8751,789.7471195587237
better,better,VERB,['Inf'],1,4.6074,745.5844435877327
considering,consider,VERB,['Ger'],6,2.9886,771.7494107808815
maintaining,maintain,VERB,['Ger'],1,1.9777,788.0887765676086
acquire,acquire,VERB,['Inf'],1,2.1335,785.5705520255451
focuses,focus,VERB,"['Ind', 'Sing', 'Pres', 'Fin', '3']",4,1.2553,799.7650628910153
suggests,suggest,VERB,"['Ind', 'Sing', 'Pres', 'Fin', '3']",9,2.4099,781.1030471255042
done,do,VERB,"['Past', 'Part']",27,4.3934,749.0433656159844
gain,gain,VERB,['Inf'],3,2.8457,774.0591302100271
win,win,VERB,['Inf'],3,3.8368,758.0397955268484
aim,aim,VERB,['Inf'],4,2.8802,773.5015002568744
integrates,integrate,VERB,"['Ind', 'Sing', 'Pres', 'Fin', '3']",2,0.6021,810.3228566707069
highlighting,highlight,VERB,['Ger'],2,1.1139,802.0505375395891
solving,solve,VERB,['Ger'],1,2.0531,786.8700722641967
combines,combine,VERB,"['Ind', 'Sing', 'Pres', 'Fin', '3']",1,1.4472,796.6633472965224
collects,collect,VERB,"['Ind', 'Sing', 'Pres', 'Fin', '3']",4,1.959,788.3910281654046
participating,participate,VERB,['Ger'],5,1.8633,789.937845165889
measures,measure,VERB,"['Ind', 'Sing', 'Pres', 'Fin', '3']",2,2.4298,780.7813997032508
consisted,consist,VERB,"['Fin', 'Ind', 'Past']",2,1.4624,796.4176668533942
divided,divide,VERB,"['Past', 'Part']",3,2.3579,781.9435328519952
participated,participate,VERB,"['Fin', 'Ind', 'Past']",2,1.8573,790.0348242881764
monitoring,monitor,VERB,['Ger'],1,2.3636,781.8514026858221
measured,measure,VERB,"['Past', 'Part']",9,2.1614,785.1195991069085
paired,pair,VERB,"['Past', 'Part']",1,1.5315,795.300790628384
obtained,obtain,VERB,"['Past', 'Part']",9,2.0934,786.2186958261661
reveals,reveal,VERB,"['Ind', 'Sing', 'Pres', 'Fin', '3']",2,2.0,787.7283374964404
reported,report,VERB,"['Fin', 'Ind', 'Past']",7,2.8876,773.3818926727199
recognize,recognize,VERB,['Inf'],4,3.2433,767.6326470397801
plan,plan,VERB,['Inf'],3,3.8712,757.4837818924004
realize,realize,VERB,['Inf'],9,3.6056,761.776724372324
sustain,sustain,VERB,['Inf'],3,2.1367,785.5188298269918
observed,observe,VERB,"['Fin', 'Ind', 'Past']",15,2.2989,782.8971608878215
emphasizing,emphasize,VERB,['Ger'],2,0.699,808.7566438457649
conclude,conclude,VERB,['Inf'],3,2.1072,785.995643844905
denoted,denote,VERB,"['Past', 'Part']",3,6.597,713.4261666372208
makes,make,VERB,"['Ind', 'Sing', 'Pres', 'Fin', '3']",23,4.0898,753.9505092037284
sound,sound,VERB,['Inf'],3,3.8642,757.5969242017358
spoken,speak,VERB,"['Past', 'Part']",10,3.0056,771.4746366010671
find,find,VERB,['Inf'],62,4.6272,745.2644124841843
suggesting,suggest,VERB,['Ger'],3,2.7419,775.7368690255996
heard,hear,VERB,"['Past', 'Part']",13,4.2961,750.6160437157456
said,say,VERB,"['Fin', 'Ind', 'Past']",137,4.7523,743.2423977844913
show,show,VERB,['Inf'],40,4.3963,748.9964923735455
admit,admit,VERB,['Inf'],2,3.48,763.806820665541
meets,meet,VERB,"['Ind', 'Sing', 'Pres', 'Fin', '3']",1,2.6776,776.77616195278
learnt,learn,VERB,"['Past', 'Part']",1,0.0,820.0547115922506
presumed,presume,VERB,"['Past', 'Part']",2,1.7924,791.0838151275855
calibrated,calibrate,VERB,"['Past', 'Part']",1,1.3979,797.4601924179841
address,address,VERB,['Inf'],4,3.426,764.6796327661278
observe,observe,VERB,['Inf'],2,2.699,776.4302697499547
fulfils,fulfil,VERB,"['Ind', 'Sing', 'Pres', 'Fin', '3']",1,0.0,820.0547115922506
shared,share,VERB,"['Past', 'Part']",5,2.7284,775.9550720507464
propose,propose,VERB,['Inf'],4,2.8222,774.4389651056529
constrained,constrain,VERB,"['Past', 'Part']",1,1.1139,802.0505375395891
utters,utter,VERB,"['Ind', 'Sing', 'Pres', 'Fin', '3']",1,0.0,820.0547115922506
initiated,initiate,VERB,"['Past', 'Part']",7,2.0374,787.1238343008488
signals,signal,VERB,"['Ind', 'Sing', 'Pres', 'Fin', '3']",2,2.6875,776.6161464010057
leaves,leave,VERB,"['Ind', 'Sing', 'Pres', 'Fin', '3']",1,3.3649,765.6672034947547
gives,give,VERB,"['Ind', 'Sing', 'Pres', 'Fin', '3']",15,3.5173,763.203933788654
leads,lead,VERB,"['Ind', 'Sing', 'Pres', 'Fin', '3']",2,3.0043,771.4956487442294
driving,drive,VERB,['Ger'],6,3.5776,762.2292936096654
compiling,compile,VERB,['Ger'],1,1.2788,799.3852279953895
found,find,VERB,"['Fin', 'Ind', 'Past']",50,4.3053,750.4673423949049
examining,examine,VERB,['Ger'],4,1.9868,787.9416915654728
occurring,occur,VERB,['Ger'],2,1.6232,793.8186263760911
varying,vary,VERB,['Ger'],1,1.5563,794.8999435895959
studied,study,VERB,"['Fin', 'Ind', 'Past']",11,2.7619,775.4136052846416
produces,produce,VERB,"['Ind', 'Sing', 'Pres', 'Fin', '3']",6,2.1303,785.6222742240984
