form,lemma,upos,feats,frequency,Log_Freq_HAL,I_Mean_RT,qLen
comparing,compare,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",3,2.0531,786.8700722641967,9
curated,curate,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,0.0,820.0547115922506,7
collected,collect,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",8,2.4683,780.1591170019065,9
enabled,enable,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",3,1.5441,795.0971344715804,7
uses,use,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",5,2.8915,773.3188562432331,4
witnessed,witness,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,2.4654,780.2059902443455,9
contributed,contribute,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,1.9395,788.7062103128387,11
analyzed,analyze,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,2.0453,786.9961451231703,8
argues,argue,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",4,1.3222,798.6837456775105,6
involve,involve,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",5,2.5198,779.3267128689394,7
outweigh,outweigh,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,1.3979,797.4601924179841,8
take,take,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",94,4.9843,739.4925383893773,4
defined,define,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",8,1.9494,788.5461947610644,7
determine,determine,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",8,2.6325,777.5051216886404,9
affect,affect,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",3,2.7551,775.5235149565673,6
stimulating,stimulate,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",3,2.0828,786.3900256088739,11
discouraging,discourage,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,1.6232,793.8186263760911,12
requires,require,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",8,2.6902,776.5725057959763,8
reduces,reduce,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",4,1.3617,798.0452997891182,7
existing,exist,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",7,1.9956,787.7994555194512,8
guarantees,guarantee,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,2.0492,786.9331086936835,10
believe,believe,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",24,4.5036,747.2621824033052,7
taken,take,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",28,3.8495,757.8345230513399,5
achieving,achieve,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",6,1.5798,794.5201086939701,9
guarantee,guarantee,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",4,3.0508,770.7440605465017,9
incorporate,incorporate,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,1.6021,794.1596696228019,11
promote,promote,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",4,2.3541,782.0049529627772,7
promoting,promote,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",5,1.9685,788.2374778884495,9
protect,protect,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",4,3.5544,762.6042795491768,7
ensure,ensure,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",14,2.4048,781.1854793794485,6
imposing,impose,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,1.7243,792.1845281655478,8
penalizing,penalize,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,0.0,820.0547115922506,10
establishes,establish,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,1.0792,802.6114001301514,11
adopted,adopt,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",7,2.6345,777.4727953145447,7
implemented,implement,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",4,1.1761,801.0451873052094,11
wins,win,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,2.9952,771.6427337463653,4
adopts,adopt,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,1.0792,802.6114001301514,6
develop,develop,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",8,2.6911,776.5579589276332,7
implementing,implement,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",5,1.4771,796.18006800379,12
reflected,reflect,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",4,1.9345,788.7870262480782,9
increased,increase,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",15,2.3201,782.554501322406,9
consolidated,consolidate,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,7.105,705.2152676168851,12
extracts,extract,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,1.0,803.8915245443454,8
oppose,oppose,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,2.0453,786.9961451231703,6
results,result,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",3,3.0641,770.5290901587647,7
devolving,devolve,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,0.0,820.0547115922506,9
occur,occur,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",6,2.5798,778.3569216460651,5
restricting,restrict,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,1.1461,801.5300829166465,11
creating,create,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",8,2.5988,778.0498210921548,8
reflect,reflect,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",4,2.3304,782.3880204958126,7
happens,happen,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",10,3.8449,757.9088737117604,7
respected,respect,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,2.5276,779.2006400099657,9
exhibits,exhibit,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,1.8195,790.6457927585873,8
presents,present,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,2.9886,771.7494107808815,8
respect,respect,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,3.5617,762.486288283727,7
reduced,reduce,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",4,2.3962,781.3244827880604,7
result,result,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",4,3.0039,771.5021140190486,6
acts,act,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,2.8041,774.73151879122,4
discussed,discuss,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",9,2.7316,775.9033498521931,9
following,follow,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",16,3.3638,765.6849830005075,9
attract,attract,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",3,2.4639,780.2302350249173,7
originated,originate,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,1.8388,790.3338432485627,10
reflects,reflect,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",3,1.8976,789.3834478501459,8
require,require,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",10,2.7348,775.8516276536398,7
limit,limit,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",3,2.8228,774.4292671934242,5
occurred,occur,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",6,2.8681,773.6970748201541,8
broken,break,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",9,3.5605,762.5056841081846,6
giving,give,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",4,3.7493,759.45407439354,6
enjambed,enjamb,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,0.0,820.0547115922506,8
described,describe,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",12,2.6656,776.9701201973548,9
exist,exist,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",18,3.1697,768.8222576065059,5
identify,identify,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",5,2.917,772.9066949735114,8
spanning,span,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,1.0414,803.2223686005622,8
enabling,enable,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,1.3424,798.3572492991428,8
given,give,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",26,3.6859,760.4788204523772,5
developed,develop,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",18,2.8102,774.6329233502278,9
identifies,identify,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",5,1.6021,794.1596696228019,10
considered,consider,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",18,3.073,770.3852377940383,10
trigger,trigger,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,2.9355,772.6076760131252,7
permits,permit,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,2.1553,785.2181945479008,7
stimulate,stimulate,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,1.8513,790.1318034104639,9
complements,complement,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,0.8451,806.395202218066,11
covering,cover,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,2.8028,774.7525309343822,8
structured,structure,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,1.5441,795.0971344715804,10
followed,follow,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",12,3.2405,767.6779039635142,8
omitted,omit,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,1.2788,799.3852279953895,7
match,match,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,3.4017,765.0723982113918,5
suggested,suggest,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",3,2.721,776.0746796349008,9
occurs,occur,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,2.233,783.9623149142785,6
connected,connect,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",8,2.9455,772.4460441426462,9
triggering,trigger,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,0.0,820.0547115922506,10
performed,perform,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",7,2.5729,778.4684476366956,9
proposing,propose,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",4,2.2041,784.429431019963,9
give,give,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",38,4.775,742.8754934385038,4
break,break,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",4,4.0522,754.5582450367297,5
breaking,break,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",7,3.3336,766.1731112493542,8
translated,translate,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",5,2.1072,785.995643844905,10
bounded,bound,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,1.0,803.8915245443454,7
heading,head,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",5,3.2325,767.8072094598974,7
includes,include,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",7,2.4314,780.7555386039742,8
identified,identify,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",13,2.7202,776.0876101845392,10
noted,note,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",6,2.3909,781.4101476794143,5
feel,feel,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",41,4.505,747.2395539414382,4
pronounced,pronounce,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",6,2.1847,784.7429968486923,10
differentiate,differentiate,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,1.2553,799.7650628910153,13
calls,call,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,3.6126,761.6635820629887,5
gather,gather,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",3,2.9031,773.1313632734774,6
proposed,propose,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",12,2.5366,779.0551713265346,8
reviews,review,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,2.1818,784.7898700911313,7
choose,choose,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",14,3.3895,765.2695890933763,6
distinguish,distinguish,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",5,1.9638,788.3134448675746,11
known,know,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",50,3.7994,758.64429872244,5
satisfy,satisfy,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,2.4579,780.3272141472047,7
know,know,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",182,5.4651,731.7212780567446,4
utilize,utilize,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,1.6628,793.1785641689941,7
guide,guide,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,2.9595,772.2197595239755,5
enjoy,enjoy,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",16,3.6256,761.4534606313659,5
use,use,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",68,4.244,751.4581457609414,3
assessed,assess,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,1.3802,797.746280828732,8
mimic,mimic,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",4,1.6128,793.9867235213893,5
live,live,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",24,4.2449,751.4435988925983,4
polluted,pollute,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,1.7076,792.4544533892479,8
inflating,inflate,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,0.0,820.0547115922506,9
diminishes,diminish,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,0.9031,805.4577373692875,10
deceiving,deceive,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,1.9542,788.4686114632344,9
set,set,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",23,4.0721,754.2365976144763,3
taking,take,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",24,4.0886,753.9699050281858,6
advocate,advocate,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,2.0569,786.8086521534146,8
had,have,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",104,4.9318,740.3411057093923,3
intended,intend,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,2.7796,775.1275168738937,8
muddying,muddy,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,0.0,820.0547115922506,8
misleading,mislead,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,1.6435,793.4905136790186,10
thinking,think,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",18,4.157,752.8643430341092,8
