form,lemma,upos,feats,frequency,Log_Freq_HAL,I_Mean_RT
witnessed,witness,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",1,2.4654,780.2059902443455
contributed,contribute,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",2,1.9395,788.7062103128387
analyzed,analyze,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",2,2.0453,786.9961451231703
defined,define,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}",8,1.9494,788.5461947610644
taken,take,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",28,3.8495,757.8345230513399
adopted,adopt,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",7,2.6345,777.4727953145447
implemented,implement,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",4,1.1761,801.0451873052094
reflected,reflect,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",4,1.9345,788.7870262480782
increased,increase,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",15,2.3201,782.554501322406
consolidated,consolidate,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",1,7.105,705.2152676168851
respected,respect,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",1,2.5276,779.2006400099657
reduced,reduce,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",4,2.3962,781.3244827880604
discussed,discuss,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",9,2.7316,775.9033498521931
originated,originate,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}",2,1.8388,790.3338432485627
occurred,occur,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",6,2.8681,773.6970748201541
broken,break,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",9,3.5605,762.5056841081846
enjambed,enjamb,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",1,0.0,820.0547115922506
described,describe,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",12,2.6656,776.9701201973548
given,give,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",26,3.6859,760.4788204523772
developed,develop,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",18,2.8102,774.6329233502278
considered,consider,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",18,3.073,770.3852377940383
structured,structure,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",2,1.5441,795.0971344715804
followed,follow,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",12,3.2405,767.6779039635142
omitted,omit,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",2,1.2788,799.3852279953895
suggested,suggest,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}",3,2.721,776.0746796349008
connected,connect,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",8,2.9455,772.4460441426462
performed,perform,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}",7,2.5729,778.4684476366956
translated,translate,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '1', 'Tense': 'Past', 'VerbForm': 'Fin'}",5,2.1072,785.995643844905
bounded,bound,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",2,1.0,803.8915245443454
identified,identify,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",13,2.7202,776.0876101845392
noted,note,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}",6,2.3909,781.4101476794143
pronounced,pronounce,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",6,2.1847,784.7429968486923
proposed,propose,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",12,2.5366,779.0551713265346
known,know,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",50,3.7994,758.64429872244
assessed,assess,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",2,1.3802,797.746280828732
polluted,pollute,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",1,1.7076,792.4544533892479
had,have,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",104,4.9318,740.3411057093923
intended,intend,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",2,2.7796,775.1275168738937
issued,issue,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}",2,2.4533,780.401564807625
mistook,mistake,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}",1,1.9031,789.2945503213824
expected,expect,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",13,3.2297,767.8524663836315
involved,involve,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",14,3.5398,762.8402620800762
reviewed,review,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",3,2.1271,785.6739964226517
hoped,hope,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}",1,2.9196,772.864670687187
uncovered,uncover,VERB,"{'Polarity': 'Neg', 'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",3,2.1173,785.8323956557211
published,publish,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",27,2.5658,778.5832062647357
diminished,diminish,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",2,1.8062,790.8607631463244
engaged,engage,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",4,3.1232,769.5738458042334
decided,decide,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}",18,3.6553,760.9734139760432
lowered,lower,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",1,1.9731,788.1631272280291
put,put,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",68,4.6258,745.2870409460513
manipulated,manipulate,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",1,1.9731,788.1631272280291
attempted,attempt,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}",3,2.5944,778.1209391151657
made,make,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",85,4.4568,748.0186195571472
done,do,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",27,4.3934,749.0433656159844
consisted,consist,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}",2,1.4624,796.4176668533942
divided,divide,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",3,2.3579,781.9435328519952
participated,participate,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}",2,1.8573,790.0348242881764
measured,measure,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",9,2.1614,785.1195991069085
paired,pair,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",1,1.5315,795.300790628384
obtained,obtain,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",9,2.0934,786.2186958261661
reported,report,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}",7,2.8876,773.3818926727199
observed,observe,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}",15,2.2989,782.8971608878215
denoted,denote,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",3,6.597,713.4261666372208
spoken,speak,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",10,3.0056,771.4746366010671
heard,hear,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",13,4.2961,750.6160437157456
said,say,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}",137,4.7523,743.2423977844913
learnt,learn,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",1,0.0,820.0547115922506
presumed,presume,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",2,1.7924,791.0838151275855
calibrated,calibrate,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",1,1.3979,797.4601924179841
shared,share,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",5,2.7284,775.9550720507464
constrained,constrain,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",1,1.1139,802.0505375395891
initiated,initiate,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",7,2.0374,787.1238343008488
found,find,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '1', 'Tense': 'Past', 'VerbForm': 'Fin'}",50,4.3053,750.4673423949049
studied,study,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '1', 'Tense': 'Past', 'VerbForm': 'Fin'}",11,2.7619,775.4136052846416
derived,derive,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",2,1.7324,792.0536063504599
hypothesized,hypothesize,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '1', 'Tense': 'Past', 'VerbForm': 'Fin'}",1,0.6021,810.3228566707069
posited,posit,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '1', 'Tense': 'Past', 'VerbForm': 'Fin'}",1,0.0,820.0547115922506
supported,support,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",5,2.2718,783.3351832568198
was,be,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}",45,5.46,731.8037103106889
limited,limit,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",3,2.7497,775.610796166626
included,include,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",10,2.5832,778.3019668101022
resulted,result,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",2,1.7853,791.1985737556256
needed,need,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",19,3.683,760.5256936948161
responded,respond,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}",4,2.143,785.41700174859
answered,answer,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}",2,2.8899,773.3447173425097
picked,pick,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",8,3.5484,762.7012586714642
became,become,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}",30,3.3867,765.3148460171104
accustomed,accustom,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",2,2.1761,784.8820002573043
expressed,express,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",6,2.2227,784.128795740872
indicated,indicate,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",3,2.3096,782.724214786409
busted,bust,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",2,3.0678,770.4692863666874
segmented,segment,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",2,0.0,820.0547115922506
grouped,group,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",1,0.9031,805.4577373692875
generated,generate,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",4,1.8325,790.4356713269646
estimated,estimate,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",8,2.1553,785.2181945479008
disposed,dispose,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",1,1.9494,788.5461947610644
released,release,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",8,2.946,772.4379625491222
produced,produce,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",9,2.4298,780.7813997032508
prolonged,prolong,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",2,1.7482,791.7982279951029
repeated,repeat,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",3,2.1584,785.1680886680523
compared,compare,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",8,2.7308,775.9162804018314
presented,present,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",6,2.4713,780.1106274407628
associated,associate,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",6,2.3032,782.8276591835156
formalized,formalize,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",1,0.699,808.7566438457649
oriented,orient,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",5,1.4472,796.6633472965224
mutated,mutate,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",1,0.0,820.0547115922506
introduced,introduce,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",4,2.7738,775.2212633587715
simplified,simplify,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",2,1.0792,802.6114001301514
drawn,draw,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",4,2.7348,775.8516276536398
affected,affect,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",8,2.5391,779.0147633589148
tested,test,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",7,2.7308,775.9162804018314
emerged,emerge,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",3,1.8808,789.6549893925506
perceived,perceive,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",3,1.8808,789.6549893925506
alleged,allege,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",4,2.3096,782.724214786409
reproduced,reproduce,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",1,1.2553,799.7650628910153
undertaken,undertake,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",2,1.4914,795.9489344290049
thought,think,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",31,4.6152,745.4583707287591
caused,cause,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",10,3.1202,769.6223353653771
informed,inform,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",4,2.8021,774.7638451653157
labeled,label,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}",1,1.8633,789.937845165889
agreed,agree,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",7,3.2632,767.3109996175267
deemed,deem,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",1,1.8573,790.0348242881764
accumulated,accumulate,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",1,1.6021,794.1596696228019
become,become,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",27,3.7705,759.1114148281245
demonstrated,demonstrate,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",4,1.8633,789.937845165889
scanned,scan,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",1,1.9031,789.2945503213824
thinned,thin,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",1,1.0414,803.2223686005622
evidenced,evidence,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",1,1.1461,801.5300829166465
polarized,polarize,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",1,1.2788,799.3852279953895
accepted,accept,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",6,2.9042,773.1135837677247
combined,combine,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",5,2.3263,782.4542895627089
corrected,correct,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",1,2.1303,785.6222742240984
covered,cover,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",11,3.2076,768.2096728173902
clarified,clarify,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",1,1.2304,800.1675262485081
roughened,roughen,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",2,3.584,762.1258492125588
hampered,hamper,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",1,0.9031,805.4577373692875
discarded,discard,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",1,1.7993,790.9722891369549
inferred,infer,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",1,0.9542,804.6317985111396
decreased,decrease,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}",1,1.6628,793.1785641689941
driven,drive,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",4,2.7202,776.0876101845392
attributed,attribute,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",3,1.6532,793.3337307646539
showed,show,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}",8,3.3849,765.3439397537967
modulated,modulate,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",1,0.4771,812.343255051695
failed,fail,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}",7,3.1667,768.8707471676496
inspired,inspire,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",12,2.5922,778.1564981266711
differed,differ,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}",1,1.0792,802.6114001301514
lived,live,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",7,3.5275,763.0390692807654
allowed,allow,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}",12,3.3593,765.757717342223
housed,house,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",2,1.6335,793.6521455494976
attached,attach,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",5,2.7952,774.8753711559464
carried,carry,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",3,3.0116,771.3776574787796
explained,explain,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",7,2.7774,775.163075885399
recreated,recreate,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",2,1.3979,797.4601924179841
popularized,popularize,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",1,0.0,820.0547115922506
spawned,spawn,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",1,0.0,820.0547115922506
explored,explore,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",1,1.8195,790.6457927585873
exemplified,exemplify,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",2,1.0,803.8915245443454
engendered,engender,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",1,5.338,733.7756191305333
anticipated,anticipate,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",2,2.1303,785.6222742240984
dreaded,dread,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",1,1.8451,790.2320151701609
shocked,shock,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",1,2.7774,775.163075885399
aligned,align,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",1,1.6128,793.9867235213893
grounded,ground,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",1,2.5999,778.0320415864022
reasoned,reason,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}",3,1.4472,796.6633472965224
posed,pose,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",2,2.0531,786.8700722641967
framed,frame,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",1,2.4548,780.3773200270532
remembered,remember,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",8,3.0596,770.6018245004802
commemorated,commemorate,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",1,0.6021,810.3228566707069
born,bear,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",28,3.6303,761.3774936522408
came,come,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}",39,4.3738,749.3601640821233
emigrated,emigrate,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}",1,1.2041,800.5926180678681
moved,move,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}",8,3.5486,762.6980260340546
banned,ban,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}",2,2.1399,785.4671076284385
plagiarized,plagiarize,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}",1,0.0,820.0547115922506
backdated,backdate,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}",1,0.0,820.0547115922506
refused,refuse,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}",4,2.8202,774.4712914797487
wanted,want,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}",24,4.4085,748.7993014915611
gave,give,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}",14,4.0944,753.8761585433081
asked,ask,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}",19,4.0426,754.7134116323896
continued,continue,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}",11,2.5694,778.5250187913633
