form,lemma,upos,feats,frequency
understood,understand,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",3
used,use,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '1', 'Tense': 'Past', 'VerbForm': 'Fin'}",71
are,be,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",106
investigate,investigate,VERB,{'VerbForm': 'Inf'},8
evaluated,evaluate,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",3
encouraged,encourage,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",6
approach,approach,VERB,{'VerbForm': 'Inf'},3
investigated,investigate,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}",2
provides,provide,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",16
offer,offer,VERB,{'VerbForm': 'Inf'},14
play,play,VERB,{'VerbForm': 'Inf'},25
determining,determine,VERB,{'VerbForm': 'Ger'},1
establish,establish,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",7
influenced,influence,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",5
including,include,VERB,{'VerbForm': 'Ger'},27
shows,show,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",8
lead,lead,VERB,{'VerbForm': 'Inf'},7
improved,improve,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",2
pairing,pair,VERB,{'VerbForm': 'Ger'},1
complement,complement,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",1
augment,augment,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",1
shown,show,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",15
produce,produce,VERB,{'VerbForm': 'Inf'},11
facilitate,facilitate,VERB,{'VerbForm': 'Inf'},6
quantifying,quantify,VERB,{'VerbForm': 'Ger'},1
remains,remain,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",6
measuring,measure,VERB,{'VerbForm': 'Ger'},3
expanding,expand,VERB,{'VerbForm': 'Ger'},5
understanding,understand,VERB,{'VerbForm': 'Ger'},2
conducted,conduct,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",8
enhanced,enhance,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",3
is,be,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",94
define,define,VERB,{'VerbForm': 'Inf'},4
vary,vary,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",2
organized,organize,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",8
approximates,approximate,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",1
lack,lack,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",2
encompassing,encompass,VERB,{'VerbForm': 'Ger'},2
distributed,distribute,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",5
based,base,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",46
assembling,assemble,VERB,{'VerbForm': 'Ger'},2
tended,tend,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",3
avoid,avoid,VERB,{'VerbForm': 'Inf'},16
assembled,assemble,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}",1
shed,shed,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",1
evolving,evolve,VERB,{'VerbForm': 'Ger'},1
changing,change,VERB,{'VerbForm': 'Ger'},11
documents,document,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",1
provide,provide,VERB,{'VerbForm': 'Inf'},19
suffer,suffer,VERB,{'VerbForm': 'Inf'},3
inject,inject,VERB,{'VerbForm': 'Inf'},1
make,make,VERB,{'VerbForm': 'Inf'},139
washed,wash,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",3
masking,mask,VERB,{'VerbForm': 'Ger'},1
present,present,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '1', 'Tense': 'Pres', 'VerbForm': 'Fin'}",8
assemble,assemble,VERB,{'VerbForm': 'Inf'},2
adapted,adapt,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",2
collecting,collect,VERB,{'VerbForm': 'Ger'},7
required,require,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",12
do,do,VERB,{'VerbForm': 'Inf'},135
providing,provide,VERB,{'VerbForm': 'Ger'},7
having,have,VERB,{'VerbForm': 'Ger'},24
rely,rely,VERB,{'VerbForm': 'Inf'},6
study,study,VERB,{'VerbForm': 'Inf'},17
changes,change,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",3
evaluating,evaluate,VERB,{'VerbForm': 'Ger'},3
meant,mean,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",11
broaden,broaden,VERB,{'VerbForm': 'Inf'},1
improve,improve,VERB,{'VerbForm': 'Inf'},16
applied,apply,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",9
elucidate,elucidate,VERB,{'VerbForm': 'Inf'},1
relate,relate,VERB,{'VerbForm': 'Inf'},2
benefit,benefit,VERB,{'VerbForm': 'Inf'},4
recollected,recollect,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",1
follows,follow,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",10
begin,begin,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '1', 'Tense': 'Pres', 'VerbForm': 'Fin'}",11
detailing,detail,VERB,{'VerbForm': 'Ger'},1
demonstrates,demonstrate,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",1
comparing,compare,VERB,{'VerbForm': 'Ger'},3
curated,curate,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",1
collected,collect,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",8
enabled,enable,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",3
uses,use,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",5
witnessed,witness,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",1
contributed,contribute,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",2
analyzed,analyze,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",2
argues,argue,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",4
involve,involve,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",5
outweigh,outweigh,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",1
take,take,VERB,{'VerbForm': 'Inf'},94
defined,define,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}",8
determine,determine,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",8
affect,affect,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",3
stimulating,stimulate,VERB,{'VerbForm': 'Ger'},3
discouraging,discourage,VERB,{'VerbForm': 'Ger'},2
requires,require,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",8
reduces,reduce,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",4
existing,exist,VERB,{'VerbForm': 'Ger'},7
guarantees,guarantee,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",2
believe,believe,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",24
taken,take,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",28
achieving,achieve,VERB,{'VerbForm': 'Ger'},6
guarantee,guarantee,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",4
incorporate,incorporate,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",1
promote,promote,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",4
promoting,promote,VERB,{'VerbForm': 'Ger'},5
protect,protect,VERB,{'VerbForm': 'Inf'},4
ensure,ensure,VERB,{'VerbForm': 'Inf'},14
imposing,impose,VERB,{'VerbForm': 'Ger'},1
penalizing,penalize,VERB,{'VerbForm': 'Ger'},1
establishes,establish,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",1
adopted,adopt,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",7
implemented,implement,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",4
wins,win,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",2
adopts,adopt,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",1
develop,develop,VERB,{'VerbForm': 'Inf'},8
implementing,implement,VERB,{'VerbForm': 'Ger'},5
reflected,reflect,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",4
increased,increase,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",15
consolidated,consolidate,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",1
extracts,extract,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",1
oppose,oppose,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",1
results,result,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",3
devolving,devolve,VERB,{'VerbForm': 'Ger'},1
occur,occur,VERB,{'VerbForm': 'Inf'},6
restricting,restrict,VERB,{'VerbForm': 'Ger'},1
creating,create,VERB,{'VerbForm': 'Ger'},8
reflect,reflect,VERB,{'VerbForm': 'Inf'},4
happens,happen,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",10
respected,respect,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",1
exhibits,exhibit,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",1
presents,present,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",1
respect,respect,VERB,{'VerbForm': 'Inf'},2
reduced,reduce,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",4
result,result,VERB,{'VerbForm': 'Inf'},4
acts,act,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",1
discussed,discuss,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",9
following,follow,VERB,{'VerbForm': 'Ger'},16
attract,attract,VERB,{'VerbForm': 'Inf'},3
originated,originate,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}",2
reflects,reflect,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",3
require,require,VERB,{'VerbForm': 'Inf'},10
limit,limit,VERB,{'VerbForm': 'Inf'},3
occurred,occur,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",6
broken,break,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",9
giving,give,VERB,{'VerbForm': 'Ger'},4
enjambed,enjamb,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",1
described,describe,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",12
exist,exist,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",18
identify,identify,VERB,{'VerbForm': 'Inf'},5
spanning,span,VERB,{'VerbForm': 'Ger'},2
enabling,enable,VERB,{'VerbForm': 'Ger'},2
given,give,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",26
developed,develop,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",18
identifies,identify,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",5
considered,consider,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",18
trigger,trigger,VERB,{'VerbForm': 'Inf'},2
permits,permit,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",2
stimulate,stimulate,VERB,{'VerbForm': 'Inf'},1
complements,complement,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",2
covering,cover,VERB,{'VerbForm': 'Ger'},1
structured,structure,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",2
followed,follow,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",12
omitted,omit,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",2
match,match,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",2
suggested,suggest,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}",3
occurs,occur,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",2
connected,connect,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",8
triggering,trigger,VERB,{'VerbForm': 'Ger'},1
performed,perform,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}",7
proposing,propose,VERB,{'VerbForm': 'Ger'},4
give,give,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",38
break,break,VERB,{'VerbForm': 'Inf'},4
breaking,break,VERB,{'VerbForm': 'Ger'},7
translated,translate,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '1', 'Tense': 'Past', 'VerbForm': 'Fin'}",5
bounded,bound,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",2
heading,head,VERB,{'VerbForm': 'Ger'},5
includes,include,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",7
identified,identify,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",13
noted,note,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}",6
feel,feel,VERB,{'VerbForm': 'Inf'},41
pronounced,pronounce,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",6
differentiate,differentiate,VERB,{'VerbForm': 'Inf'},1
calls,call,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",1
gather,gather,VERB,{'VerbForm': 'Inf'},3
proposed,propose,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",12
reviews,review,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",1
choose,choose,VERB,{'VerbForm': 'Inf'},14
distinguish,distinguish,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",5
known,know,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",50
satisfy,satisfy,VERB,{'VerbForm': 'Inf'},1
know,know,VERB,{'VerbForm': 'Inf'},182
utilize,utilize,VERB,{'VerbForm': 'Inf'},2
guide,guide,VERB,{'VerbForm': 'Inf'},2
enjoy,enjoy,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",16
use,use,VERB,{'VerbForm': 'Inf'},68
assessed,assess,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",2
mimic,mimic,VERB,{'VerbForm': 'Inf'},4
live,live,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '1', 'Tense': 'Pres', 'VerbForm': 'Fin'}",24
polluted,pollute,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",1
inflating,inflate,VERB,{'VerbForm': 'Ger'},1
diminishes,diminish,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",1
deceiving,deceive,VERB,{'VerbForm': 'Ger'},1
set,set,VERB,{'VerbForm': 'Inf'},23
taking,take,VERB,{'VerbForm': 'Ger'},24
advocate,advocate,VERB,{'VerbForm': 'Inf'},1
had,have,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",104
intended,intend,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",2
muddying,muddy,VERB,{'VerbForm': 'Ger'},1
misleading,mislead,VERB,{'VerbForm': 'Ger'},1
thinking,think,VERB,{'VerbForm': 'Ger'},18
speaks,speak,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",2
issued,issue,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}",2
condemning,condemn,VERB,{'VerbForm': 'Ger'},1
mistook,mistake,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}",1
expected,expect,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",13
allows,allow,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",5
encourages,encourage,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",3
introduces,introduce,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",2
involved,involve,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",14
mimicking,mimick,VERB,{'VerbForm': 'Ger'},1
reviewed,review,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",3
hoped,hope,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}",1
leverage,leverage,VERB,{'VerbForm': 'Inf'},1
endow,endow,VERB,{'VerbForm': 'Inf'},1
uncovered,uncover,VERB,"{'Polarity': 'Neg', 'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",3
published,publish,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",27
diminished,diminish,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",2
growing,grow,VERB,{'VerbForm': 'Ger'},13
publish,publish,VERB,{'VerbForm': 'Inf'},3
appear,appear,VERB,{'VerbForm': 'Inf'},13
work,work,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",27
appears,appear,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",5
pay,pay,VERB,{'VerbForm': 'Inf'},15
engaged,engage,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",4
linking,link,VERB,{'VerbForm': 'Ger'},3
questioning,question,VERB,{'VerbForm': 'Ger'},2
decided,decide,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}",18
add,add,VERB,{'VerbForm': 'Inf'},32
surrounding,surround,VERB,{'VerbForm': 'Ger'},3
indicates,indicate,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",3
assessing,assess,VERB,{'VerbForm': 'Ger'},4
expect,expect,VERB,{'VerbForm': 'Inf'},9
lowered,lower,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",1
blame,blame,VERB,{'VerbForm': 'Inf'},2
discount,discount,VERB,{'VerbForm': 'Inf'},1
note,note,VERB,{'VerbForm': 'Inf'},10
stem,stem,VERB,{'VerbForm': 'Inf'},1
game,game,VERB,{'VerbForm': 'Inf'},1
put,put,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",68
track,track,VERB,{'VerbForm': 'Inf'},1
consider,consider,VERB,"{'Mood': 'Imp', 'Person': '2', 'VerbForm': 'Fin'}",20
credentialing,credential,VERB,{'VerbForm': 'Ger'},1
credential,credential,VERB,{'VerbForm': 'Inf'},1
come,come,VERB,{'VerbForm': 'Inf'},57
inflate,inflate,VERB,{'VerbForm': 'Inf'},2
increasing,increase,VERB,{'VerbForm': 'Ger'},6
bringing,bring,VERB,{'VerbForm': 'Ger'},9
attracting,attract,VERB,{'VerbForm': 'Ger'},3
manipulated,manipulate,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",1
attempted,attempt,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}",3
boost,boost,VERB,{'VerbForm': 'Inf'},1
urging,urge,VERB,{'VerbForm': 'Ger'},1
cite,cite,VERB,{'VerbForm': 'Inf'},1
try,try,VERB,{'VerbForm': 'Inf'},38
keep,keep,VERB,{'VerbForm': 'Inf'},35
working,work,VERB,{'VerbForm': 'Ger'},23
made,make,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",85
recurring,recur,VERB,"{'Typo': 'Yes', 'VerbForm': 'Ger'}",3
suggest,suggest,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",11
improving,improve,VERB,{'VerbForm': 'Ger'},2
perceive,perceive,VERB,{'VerbForm': 'Inf'},1
better,better,VERB,{'VerbForm': 'Inf'},1
considering,consider,VERB,{'VerbForm': 'Ger'},6
maintaining,maintain,VERB,{'VerbForm': 'Ger'},1
acquire,acquire,VERB,{'VerbForm': 'Inf'},1
